coefficient,beta,std_error,tval,pval,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
d_treated_{h=-4},0.07956878101847617,0.005603628054130559,14.199511503948635,1.2818505613482815e-45,prod_res_ma3,80001,119657,5740,31587,0.038277345293439624,0.03823715663414273,0.0018704286258838243,0.0018620866181164875,le5_panelsize0,LE-event def: first
d_treated_{h=-4},0.013999885562571734,0.0028510181922825817,4.910486225751912,9.139961399497864e-7,tfp_cd_ma3,80002,100069,5740,31587,0.003015481633434347,0.002965663792755646,2.54206243960442e-4,2.442150804559118e-4,le5_panelsize0,LE-event def: first
d_treated_{h=-4},0.011094437350319094,0.0018765963860510658,5.911999742078366,3.421810694814463e-9,tfp_tl_ma3,80003,100069,5740,31587,0.0064549874548957,0.006405341481231841,3.822455918633949e-4,3.722557079461897e-4,le5_panelsize0,LE-event def: first
d_treated_{h=-3},0.05520904110481754,0.0039850375606881394,13.854082995213725,1.5730420542139831e-43,prod_res_ma3,80004,151298,5740,34682,0.03769106826275981,0.037652904369399165,0.0015597979614259128,0.0015531984928386366,le5_panelsize0,LE-event def: first
d_treated_{h=-3},0.009112199359777737,0.0018279007852595322,4.985062336675977,6.229771964308221e-7,tfp_cd_ma3,80005,126846,5740,34682,0.0026728508265358997,0.0026256732006081362,1.9361536711837157e-4,1.857328831454952e-4,le5_panelsize0,LE-event def: first
d_treated_{h=-3},0.0073964243174529706,0.0011758072412097133,6.290507540881667,3.209316841588382e-10,tfp_tl_ma3,80006,126846,5740,34682,0.006829655156281533,0.006782674164086289,2.9634591449922976e-4,2.8846424045514407e-4,le5_panelsize0,LE-event def: first
d_treated_{h=-2},0.02879544608231183,0.002532065467201492,11.372314995527088,6.437294997224049e-30,prod_res_ma3,80007,184270,5740,37307,0.028985395665345637,0.02894850741801125,9.688338976016064e-4,9.634121005620555e-4,le5_panelsize0,LE-event def: first
d_treated_{h=-2},0.004507547466816362,0.001160702853566886,3.883463759018503,1.0318773651722306e-4,tfp_cd_ma3,80008,155116,5740,37307,0.0027407348966640432,0.0026957287405938724,1.1282925567901447e-4,1.063828623869556e-4,le5_panelsize0,LE-event def: first
d_treated_{h=-2},0.0036810023573475826,7.434257682464053e-4,4.951405391866279,7.405754577236292e-7,tfp_tl_ma3,80009,155116,5740,37307,0.005197425503467579,0.005152530217463758,1.695689712362114e-4,1.6312294375186998e-4,le5_panelsize0,LE-event def: first
d_treated_{h=0},-0.0052081527736070376,0.0025175365266408836,-2.0687496361994033,0.03857584070654748,prod_res_ma3,80010,221159,5740,40995,0.025963345514452674,0.02592811018442387,2.6978875484862108e-5,2.245717970772443e-5,le5_panelsize0,LE-event def: first
