variable,beta,std_error,tval,pval,dep_var,clustering,weighted,model_id,n_obs,r2,r2_proj,sample,controls,naf2_fe
destinationTRUE,0.05298452970927492,0.002804541606971711,18.892402800358727,6.371737784906787e-8,fe0215_god2,sir+an,FALSE,31401,1459024,0.00901768945776249,0.008362666819250575,le5_panelsize10-moving_wpanel,FALSE,FALSE
originTRUE,0.09100422027225799,0.00206567286690771,44.05548513036836,7.776547467306719e-11,fe0215_god2,sir+an,FALSE,31401,1459024,0.00901768945776249,0.008362666819250575,le5_panelsize10-moving_wpanel,FALSE,FALSE
destinationTRUE,0.032688877306892905,0.0024389249964327977,13.402985887103567,9.193060854102124e-7,fe0215_god2,sir+an,FALSE,31402,1459024,0.1752410244570879,0.006001739042200471,le5_panelsize10-moving_wpanel,FALSE,TRUE
originTRUE,0.07346756817134978,0.0017850440658997168,41.15728545576261,1.337449745912492e-10,fe0215_god2,sir+an,FALSE,31402,1459024,0.1752410244570879,0.006001739042200471,le5_panelsize10-moving_wpanel,FALSE,TRUE
destinationTRUE,-0.006062952650266146,0.008820725872169415,-0.6873530294593536,0.5112914090944136,fe0215_god2,sir+an,TRUE,31403,1459024,0.012987602239704077,0.012287277039173095,le5_panelsize10-moving_wpanel,FALSE,FALSE
originTRUE,0.03257373022724698,0.005858292237577233,5.560277450535352,5.344955039656213e-4,fe0215_god2,sir+an,TRUE,31403,1459024,0.012987602239704077,0.012287277039173095,le5_panelsize10-moving_wpanel,FALSE,FALSE
destinationTRUE,0.006340884628364067,0.005305467292632923,1.1951604408472947,0.2662492441592871,fe0215_god2,sir+an,TRUE,31404,1459024,0.2386571029361837,0.022903210272468666,le5_panelsize10-moving_wpanel,FALSE,TRUE
originTRUE,0.03809095485897286,0.0039488456567664965,9.646098675369236,1.1100932725758361e-5,fe0215_god2,sir+an,TRUE,31404,1459024,0.2386571029361837,0.022903210272468666,le5_panelsize10-moving_wpanel,FALSE,TRUE
destinationTRUE,-0.018061845207026903,0.0027663698928548437,-6.529078144494771,1.824358933969837e-4,fe0215_god2,sir+an,FALSE,31405,1459024,0.2146216057771545,0.2141024838689819,le5_panelsize10-moving_wpanel,TRUE,FALSE
originTRUE,0.023085580840176423,0.0027540636437052967,8.382370136195275,3.115625836760686e-5,fe0215_god2,sir+an,FALSE,31405,1459024,0.2146216057771545,0.2141024838689819,le5_panelsize10-moving_wpanel,TRUE,FALSE
ln_apl_ma3,0.12226081368471631,0.002109469379080496,57.95808884318056,8.721404881310056e-12,fe0215_god2,sir+an,FALSE,31405,1459024,0.2146216057771545,0.2141024838689819,le5_panelsize10-moving_wpanel,TRUE,FALSE
ln_emp_ma3,0.034082426983210345,6.460602705407143e-4,52.75425302763992,1.847865003529174e-11,fe0215_god2,sir+an,FALSE,31405,1459024,0.2146216057771545,0.2141024838689819,le5_panelsize10-moving_wpanel,TRUE,FALSE
