variable,beta,std_error,tval,pval,dep_var,clustering,weighted,model_id,n_obs,r2,r2_proj,sample,controls,naf2_fe
destinationTRUE,0.13483468269919152,0.020020926454645982,6.734687478356042,9.297864462610073e-10,ln_lshare_mean_0215,minmax_year,FALSE,31601,1941522,0.02878349578560846,0.0010334662006360462,panelpanSIZE2-fixed_all,FALSE,FALSE
originTRUE,0.2943810196283598,0.027036481226198568,10.888288944313588,6.9923308934673585e-19,ln_lshare_mean_0215,minmax_year,FALSE,31601,1941522,0.02878349578560846,0.0010334662006360462,panelpanSIZE2-fixed_all,FALSE,FALSE
destinationTRUE,0.08034636357240794,0.014522613223281,5.5325004072687,2.3712708412644695e-7,ln_lshare_mean_0215,minmax_year,FALSE,31602,1941522,0.060143603977360294,5.820396849616216e-4,panelpanSIZE2-fixed_all,FALSE,TRUE
originTRUE,0.2365945179622555,0.019173071760773833,12.339938060749555,4.322691152532616e-22,ln_lshare_mean_0215,minmax_year,FALSE,31602,1941522,0.060143603977360294,5.820396849616216e-4,panelpanSIZE2-fixed_all,FALSE,TRUE
destinationTRUE,-0.03147978596554211,0.008227796596837002,-3.826028705868085,2.225040145979354e-4,ln_lshare_mean_0215,minmax_year,TRUE,31603,1941522,0.035938600725929803,0.0017642942124874716,panelpanSIZE2-fixed_all,FALSE,FALSE
originTRUE,0.07401436145353048,0.015003016658578922,4.93329862506072,3.081294422023073e-6,ln_lshare_mean_0215,minmax_year,TRUE,31603,1941522,0.035938600725929803,0.0017642942124874716,panelpanSIZE2-fixed_all,FALSE,FALSE
destinationTRUE,-0.023531474013191174,0.012704252246864035,-1.852251793803903,0.06682579741136381,ln_lshare_mean_0215,minmax_year,TRUE,31604,1941522,0.14563383011436248,0.003503940348888346,panelpanSIZE2-fixed_all,FALSE,TRUE
originTRUE,0.11248195721295622,0.014605311372345529,7.701441916940951,8.206661587809083e-12,ln_lshare_mean_0215,minmax_year,TRUE,31604,1941522,0.14563383011436248,0.003503940348888346,panelpanSIZE2-fixed_all,FALSE,TRUE
destinationTRUE,-0.1235079064434973,0.03563076868933681,-3.4663273060527433,7.682060736723196e-4,ln_lshare_mean_0215,minmax_year,FALSE,31605,1941522,0.3362158948216254,0.3172499603705484,panelpanSIZE2-fixed_all,TRUE,FALSE
originTRUE,-0.08601155255553783,0.012021899199154142,-7.1545727618136725,1.2200635623983654e-10,ln_lshare_mean_0215,minmax_year,FALSE,31605,1941522,0.3362158948216254,0.3172499603705484,panelpanSIZE2-fixed_all,TRUE,FALSE
ln_apl_mean_0215,-0.3850112897854765,0.012884824509429418,-29.880988251234324,7.452130516635441e-53,ln_lshare_mean_0215,minmax_year,FALSE,31605,1941522,0.3362158948216254,0.3172499603705484,panelpanSIZE2-fixed_all,TRUE,FALSE
ln_emp_mean_0215,0.12951965491441694,0.00593617146743915,21.81871861769037,1.3172663275229695e-40,ln_lshare_mean_0215,minmax_year,FALSE,31605,1941522,0.3362158948216254,0.3172499603705484,panelpanSIZE2-fixed_all,TRUE,FALSE
destinationTRUE,-0.14075436320229653,0.02394613776218436,-5.87795679621351,5.064257512919462e-8,ln_lshare_mean_0215,minmax_year,FALSE,31606,1941522,0.3755523066427985,0.3359791531349523,panelpanSIZE2-fixed_all,TRUE,TRUE
originTRUE,-0.07928275797837059,0.011324332047827958,-7.0010979582303285,2.5750616150521165e-10,ln_lshare_mean_0215,minmax_year,FALSE,31606,1941522,0.3755523066427985,0.3359791531349523,panelpanSIZE2-fixed_all,TRUE,TRUE
ln_apl_mean_0215,-0.41651264597303844,0.011267359167018131,-36.96630592838971,1.2173866157190594e-61,ln_lshare_mean_0215,minmax_year,FALSE,31606,1941522,0.3755523066427985,0.3359791531349523,panelpanSIZE2-fixed_all,TRUE,TRUE
ln_emp_mean_0215,0.11666544499757868,0.0051239513626943995,22.768648010005865,3.349398852532515e-42,ln_lshare_mean_0215,minmax_year,FALSE,31606,1941522,0.3755523066427985,0.3359791531349523,panelpanSIZE2-fixed_all,TRUE,TRUE
destinationTRUE,2.5564665327165716,0.1674452387174626,15.267478205398273,2.5896024396706753e-28,ln_emp_mean_0215,minmax_year,FALSE,31607,1943052,0.1374390018160464,0.0459896522716029,panelpanSIZE2-fixed_all,FALSE,FALSE
originTRUE,2.886581860214059,0.13518901128112545,21.35219299896657,8.30628468629008e-40,ln_emp_mean_0215,minmax_year,FALSE,31607,1943052,0.1374390018160464,0.0459896522716029,panelpanSIZE2-fixed_all,FALSE,FALSE
