variable,beta,std_error,tval,pval,dep_var,clustering,weighted,model_id,n_obs,r2,r2_proj,sample,controls,naf2_fe
destinationTRUE,0.11981263959217171,0.016131331916218385,7.427324675634038,3.196654402559163e-11,ln_lshare_mean_0215,minmax_year,FALSE,30001,1941522,0.029174060270733992,0.0014351900678046814,le5_panelsize0-fixed_all,FALSE,FALSE
originTRUE,0.21685416987582304,0.01636733489616415,13.24920466597436,4.587227656568487e-24,ln_lshare_mean_0215,minmax_year,FALSE,30001,1941522,0.029174060270733992,0.0014351900678046814,le5_panelsize0-fixed_all,FALSE,FALSE
destinationTRUE,0.08033928414016524,0.01408362288499855,5.704447271571025,1.1057383939421138e-7,ln_lshare_mean_0215,minmax_year,FALSE,30002,1941522,0.060589087951925746,0.0010557553367328554,le5_panelsize0-fixed_all,FALSE,TRUE
originTRUE,0.18779856425348457,0.016639371296181447,11.286397839837992,9.10385970039466e-20,ln_lshare_mean_0215,minmax_year,FALSE,30002,1941522,0.060589087951925746,0.0010557553367328554,le5_panelsize0-fixed_all,FALSE,TRUE
destinationTRUE,0.004652610641727985,0.01848146225717902,0.2517447254435024,0.8017351805153299,ln_lshare_mean_0215,minmax_year,TRUE,30003,1941522,0.03452551240473034,3.011143582636322e-4,le5_panelsize0-fixed_all,FALSE,FALSE
originTRUE,0.020396572310990506,0.03540225657107256,0.576137633205469,0.5657668908790374,ln_lshare_mean_0215,minmax_year,TRUE,30003,1941522,0.03452551240473034,3.011143582636322e-4,le5_panelsize0-fixed_all,FALSE,FALSE
destinationTRUE,0.01014707340902006,0.01015472243155451,0.9992467521799826,0.3199944665539594,ln_lshare_mean_0215,minmax_year,TRUE,30004,1941522,0.1442350496905349,0.0018724628515432995,le5_panelsize0-fixed_all,FALSE,TRUE
originTRUE,0.05140276795563545,0.014702279667160301,3.4962447402256314,6.951379610510167e-4,ln_lshare_mean_0215,minmax_year,TRUE,30004,1941522,0.1442350496905349,0.0018724628515432995,le5_panelsize0-fixed_all,FALSE,TRUE
destinationTRUE,-0.08871959025754095,0.032001452433658886,-2.772361362080752,0.006595741339677136,ln_lshare_mean_0215,minmax_year,FALSE,30005,1941522,0.33599377004576425,0.317021488946875,le5_panelsize0-fixed_all,TRUE,FALSE
originTRUE,0.020471038739071412,0.02515114019396018,0.8139209030367278,0.41754992780687206,ln_lshare_mean_0215,minmax_year,FALSE,30005,1941522,0.33599377004576425,0.317021488946875,le5_panelsize0-fixed_all,TRUE,FALSE
ln_apl_mean_0215,-0.38526567888178814,0.012844991756812965,-29.9934547390771,5.249008590415174e-53,ln_lshare_mean_0215,minmax_year,FALSE,30005,1941522,0.33599377004576425,0.317021488946875,le5_panelsize0-fixed_all,TRUE,FALSE
