origin,destination,ln_lshare_mean_0215,ln_emp_mean_0215,ln_apl_mean_0215,prod_res_mean_0215,year_cre,fe0215_god2,fe0215_mlo_le,fe0215_mlo,fe0215_le,n_siren,nobs
FALSE,FALSE,-0.20143969149449295,1.7448396999730766,3.850135413874263,0.018512021411656893,1997.8272220672495,2.4002542501547395,2.3996515281646356,2.3992748769428736,2.4005042241155703,641739,641739
FALSE,TRUE,-0.21104193763818205,3.425593091215898,4.088662355566094,0.2532918931124571,1996.6599245441207,2.4620049532489516,2.46108359082669,2.461028790408624,2.4619928909546256,10586,10586
TRUE,FALSE,-0.02040164208061498,3.15113957164654,3.5632343414970533,-0.0803267313762455,1993.6777763803295,2.48204706562926,2.475767633123465,2.478803166922242,2.4779326836349256,8814,8814
TRUE,TRUE,-0.14817873567770773,5.010283062145575,3.890583580521902,0.11772014992110622,1990.1073825503356,2.509026661735017,2.500512625967155,2.504234765483215,2.50281481475605,339,339
