coefficient,beta,std_error,tval,pval,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
d_treated_{h=-4},0.00915486694988254,0.0013028977054772971,7.026543151773217,2.1590639578130615e-12,tfp_tl_ma3,80103,188921,6227,38491,0.005490636276808791,0.005443256376890249,3.1862319248232573e-4,3.1333138111722114e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=-3},0.03132737799054348,0.0023368648820138965,13.405729287842147,6.802600535597373e-41,prod_res_ma3,80104,263245,6227,41950,0.025450469089460248,0.025413446914098747,7.963963518211603e-4,7.926004758946892e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=-3},0.005505426584211697,0.001122636039911528,4.90401732038245,9.431130895182071e-7,tfp_cd_ma3,80105,221737,6227,41950,0.0021592091980073835,0.0021142058699897825,1.2309903506269038e-4,1.1858951925958205e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=-3},0.005653995043607332,7.542947064934847e-4,7.495737402017907,6.746236909676353e-14,tfp_tl_ma3,80106,221737,6227,41950,0.004324644794956867,0.0042797391296219844,2.811729396740015e-4,2.7666413679539037e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=-1},-0.03295722565244633,0.0026099282967552567,-12.627636434847567,1.718398654933951e-36,prod_res_ma3,80107,299201,6227,47618,0.023441161272392264,0.023405257053901507,8.308049852038257e-4,8.274653931901188e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=-1},-0.006719530524988438,0.0011199918816461622,-5.999624314340639,1.9957988013996662e-9,tfp_cd_ma3,80108,250840,6227,47618,0.0020047000550927896,0.0019609332176607763,1.7856518184478087e-4,1.7457909801510407e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=-1},-0.006054715031878419,8.196134058834762e-4,-7.387281599368096,1.5296656947611894e-13,tfp_tl_ma3,80109,250840,6227,47618,0.004003286052739141,0.0039596068628026115,3.0243766361004454e-4,2.9845207363476955e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=0},-0.033271120006356195,0.004246337799400835,-7.835250415322776,4.782759736559427e-15,prod_res_ma3,80110,299201,6227,47618,0.025265845302552936,0.025230008170500362,3.285008117200894e-4,3.251595408204633e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=0},-0.008337989762318586,0.001957491413890891,-4.259528140532288,2.053609621101813e-5,tfp_cd_ma3,80111,248999,6227,47618,0.0015377593154115576,0.001493648238738765,1.0437922959016799e-4,1.0036337486374336e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=0},-0.005600425783378976,0.0015328873314731223,-3.6535142984037208,2.590301794407009e-4,tfp_tl_ma3,80112,248999,6227,47618,0.004722264255232478,0.004678293866846039,9.977830064711313e-5,9.576242744213648e-5,le5_panelsize0,LE-event def: concentrated
d_treated_{h=1},0.005499649124761311,0.005289166065341749,1.0397951315612477,0.2984411865079237,prod_res_ma3,80113,253235,6227,44865,0.02784230005849886,0.027803908843608394,6.036692682398481e-6,2.087643763970526e-6,le5_panelsize0,LE-event def: concentrated
d_treated_{h=1},-8.657768262357299e-4,0.0026913490061946637,-0.32168879778987264,0.747690413811902,tfp_cd_ma3,80114,210477,6227,44865,0.0013761158324399059,0.0013286676040245027,6.975692808941503e-7,-4.053788669633462e-6,le5_panelsize0,LE-event def: concentrated
d_treated_{h=1},0.0024926591009182533,0.0017129622268445672,1.455174586955113,0.14563003156056953,tfp_tl_ma3,80115,210477,6227,44865,0.004389817499699911,0.004342512463138215,1.2709815076616948e-5,7.958514200545608e-6,le5_panelsize0,LE-event def: concentrated
d_treated_{h=2},0.03640232102234393,0.006005775150092303,6.061219428400422,1.3638390425155344e-9,prod_res_ma3,80116,211588,6227,41950,0.027320689969455803,0.027279314619512607,2.460190886406366e-4,2.4129386210047787e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=2},0.007836576712958258,0.0032145118299985146,2.437874591042298,0.01477940033145014,tfp_cd_ma3,80117,176188,6227,41950,9.872778943824656e-4,9.362436307459587e-4,4.878438613287184e-5,4.3108585433548896e-5,le5_panelsize0,LE-event def: concentrated
d_treated_{h=2},0.009480767463687109,0.002051271941980322,4.6218969165708295,3.817562752320147e-6,tfp_tl_ma3,80118,176188,6227,41950,0.003932780298042449,0.0038818965045079867,1.61128535688837e-4,1.5545337266353876e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=3},0.042317515546633086,0.006956565461576491,6.083104626897757,1.191459889377655e-9,prod_res_ma3,80119,175011,6227,38491,0.019924719242178757,0.019879916312806167,3.0403747216911636e-4,2.983249890973205e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=3},0.01562548665217481,0.0038973660958383995,4.0092427213496,6.10696457528049e-5,tfp_cd_ma3,80120,145842,6227,38491,6.634674880778846e-4,6.086466158466974e-4,1.6707916492786357e-4,1.6022315208552573e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=3},0.012704322367604128,0.0025465980222815873,4.988742729102521,6.113263511143164e-7,tfp_tl_ma3,80121,145842,6227,38491,0.002691362203442682,0.002636652575975895,2.559888743459693e-4,2.491334711716142e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=4},0.04453338835608561,0.008013438679452901,5.557338133786783,2.7614775114728688e-8,prod_res_ma3,80122,144365,6227,36099,0.006073660837441097,0.00602546446058283,2.9355130354302705e-4,2.8662606646623345e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=4},0.019456320626308928,0.0045565779133922586,4.2699413893757345,1.9621259868454416e-5,tfp_cd_ma3,80123,120323,6227,36099,4.5470217221499354e-4,3.9654801783028937e-4,2.3580637054143594e-4,2.2749681484479645e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=4},0.014319581828995277,0.003278753978363152,4.367385269981136,1.2622525480245473e-5,tfp_tl_ma3,80124,120323,6227,36099,0.0012476687687599242,0.0011895607496549276,3.026821574323435e-4,2.943731575748565e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=5},0.039671094817067896,0.009424047138091897,4.209560312651425,2.566429175923114e-5,prod_res_ma3,80125,117354,6227,33784,0.0029975385776848107,0.002946561434949757,1.8539271151885028e-4,1.768725567019569e-4,le5_panelsize0,LE-event def: concentrated
d_treated_{h=5},0.02487407022596163,0.005399462715411741,4.606767661338473,4.110795321271254e-6,tfp_cd_ma3,80126,97625,6227,33784,5.879059976804379e-4,5.26478058529678e-4,3.4370571706854314e-4,3.334652256193893e-4,le5_panelsize0,LE-event def: concentrated
