distance,treatment_path,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_treated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,TRUE,0.0013671432307118905,0.0020417742189542385,-6.631997276275458e-4,2.0903174790282955e-4,-3.1727224896757824,0.0015132417674164349,none,hhi_comp_sirzecs1_ma3_dlag4,21401,88472,16428,29859,0.001455225836951679,0.0011503921692930241,0.0012529398547512782,0.001049676240683417,le5_panelsize20-acco_isin,NA
-4,TRUE,0.0013224849911472332,0.0019205886837322926,-5.887136962615523e-4,1.912901556849367e-4,-3.0775953637216418,0.002090578469310116,none,hhi_comp_sirzecs1_ma3_dlag4,21401,88472,16428,29859,0.001455225836951679,0.0011503921692930241,0.0012529398547512782,0.001049676240683417,le5_panelsize20-acco_isin,NA
-3,TRUE,0.0012515431529888787,0.0018865336447764591,-6.23449978863118e-4,1.7830415325718513e-4,-3.496553319001249,4.7268586323747936e-4,none,hhi_comp_sirzecs1_ma3_dlag4,21401,88472,16428,29859,0.001455225836951679,0.0011503921692930241,0.0012529398547512782,0.001049676240683417,le5_panelsize20-acco_isin,NA
-2,TRUE,0.0013554282413393206,0.0018856844589055666,0,NA,NA,NA,none,hhi_comp_sirzecs1_ma3_dlag4,21401,88472,16428,29859,0.001455225836951679,0.0011503921692930241,0.0012529398547512782,0.001049676240683417,le5_panelsize20-acco_isin,NA
-1,TRUE,0.0013563031125001883,0.0018854420255077732,-5.245154600550361e-4,1.8679365362361602e-4,-2.8079940077189134,0.004991614406356428,none,hhi_comp_sirzecs1_ma3_dlag4,21401,88472,16428,29859,0.001455225836951679,0.0011503921692930241,0.0012529398547512782,0.001049676240683417,le5_panelsize20-acco_isin,NA
0,TRUE,0.0014310198326065227,0.0018861738908612306,-4.521843674478823e-4,1.972205979428314e-4,-2.292784689654767,0.021874305995893746,none,hhi_comp_sirzecs1_ma3_dlag4,21401,88472,16428,29859,0.001455225836951679,0.0011503921692930241,0.0012529398547512782,0.001049676240683417,le5_panelsize20-acco_isin,NA
1,TRUE,3.311331908969172e-4,0.001974008126872064,-0.0016224724767987012,1.4853463882582638e-4,-10.923192661485738,1.137731746278974e-27,none,hhi_comp_sirzecs1_ma3_dlag4,21401,88472,16428,29859,0.001455225836951679,0.0011503921692930241,0.0012529398547512782,0.001049676240683417,le5_panelsize20-acco_isin,NA
2,TRUE,3.9078715962604434e-4,0.00178432068095249,-0.0013622494194867204,1.587708163772398e-4,-8.579973641062681,1.0417706259740309e-17,none,hhi_comp_sirzecs1_ma3_dlag4,21401,88472,16428,29859,0.001455225836951679,0.0011503921692930241,0.0012529398547512782,0.001049676240683417,le5_panelsize20-acco_isin,NA
3,TRUE,5.41993227773183e-4,0.0017385887447831205,-0.0011871686068000433,2.1842602221499118e-4,-5.435106104855691,5.562708554210241e-8,none,hhi_comp_sirzecs1_ma3_dlag4,21401,88472,16428,29859,0.001455225836951679,0.0011503921692930241,0.0012529398547512782,0.001049676240683417,le5_panelsize20-acco_isin,NA
4,TRUE,6.396921061407253e-4,0.0021538624507209123,-0.0015141703445802723,4.530376439062267e-4,-3.3422616529713527,8.330372090195027e-4,none,hhi_comp_sirzecs1_ma3_dlag4,21401,88472,16428,29859,0.001455225836951679,0.0011503921692930241,0.0012529398547512782,0.001049676240683417,le5_panelsize20-acco_isin,NA
