distance,treatment_path,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_treated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,TRUE,5.330003478728966e-4,4.4267121947224155e-4,2.305409051790859e-5,1.6970281418261444e-5,1.358497832163258,0.17433096632839984,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
-4,TRUE,4.974757933204746e-4,4.389599074106052e-4,1.2016708670759341e-6,7.571139386488698e-6,0.15871730868149272,0.8738942359845169,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
-3,TRUE,1.603078467369e-4,4.1878710260877006e-4,-9.502476128533062e-7,8.390251552520849e-7,-1.1325615291806175,0.25742075945973475,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
-2,TRUE,1.6080218583977744e-4,4.1491202664609844e-4,0,NA,NA,NA,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
-1,TRUE,1.599478999429456e-4,4.165548841590404e-4,-5.38272992688143e-7,5.047645209519338e-7,-1.066384364085288,0.286271095172906,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
0,TRUE,2.3164341984522712e-4,4.165548841590404e-4,2.595748605579826e-5,1.1221152033627129e-5,2.3132639124761734,0.02072472988212346,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
1,TRUE,4.358331459877352e-4,4.548142673494456e-4,2.2596697729154923e-4,6.059034787090647e-5,3.729422015747351,1.9279126587867437e-4,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
2,TRUE,4.363225926223596e-4,4.970194469937991e-4,1.8413060920285785e-4,8.363957756971297e-5,2.2014770345938963,0.027720982692435444,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
3,TRUE,5.269511279274511e-4,5.438615830724964e-4,2.0411843409480517e-4,8.850493591092927e-5,2.3062943551558353,0.021110919949780777,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
4,TRUE,6.024894225386884e-4,5.656565875833002e-4,2.714381301636016e-4,8.724638802396418e-5,3.111167537262918,0.0018678047800615553,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
5,TRUE,6.008334851596373e-4,5.572190164228125e-4,2.669948423274137e-4,8.945062516259927e-5,2.984829249008407,0.0028430088553510063,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
6,TRUE,5.755587078101849e-4,5.557287096302015e-4,2.5638612502028026e-4,8.879156631846657e-5,2.887505375236949,0.003889943927221158,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
7,TRUE,6.17231023795605e-4,6.00666140349912e-4,3.079693492370314e-4,1.0666483729839485e-4,2.887262166589044,0.003892950199166197,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
8,TRUE,5.46777031122651e-4,5.599003403887694e-4,2.3300904309684657e-4,1.0374553047336148e-4,2.2459670506641807,0.024723995811095936,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
-5,FALSE,5.330003478728966e-4,4.4267121947224155e-4,-0.0010360088193832693,9.749418095342943,-1.0626365689231701e-4,0.9999152156117821,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
-4,FALSE,4.974757933204746e-4,4.389599074106052e-4,-5.130919143128312e-4,4.874707640623274,-1.0525593576874035e-4,0.999916019640376,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
-2,FALSE,1.6080218583977744e-4,4.1491202664609844e-4,5.203855788057505e-4,4.874708358203631,1.0675214609095438e-4,0.9999148258618062,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
-1,FALSE,1.599478999429456e-4,4.165548841590404e-4,0.0010424168998988516,9.74941638678452,1.0692095388518471e-4,0.999914691175443,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
0,FALSE,2.3164341984522712e-4,4.165548841590404e-4,0.0015635933292155201,14.624125648616637,1.0691875649765274e-4,0.9999146929286684,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
1,FALSE,4.358331459877352e-4,4.548142673494456e-4,0.002099282911273317,19.498840215383275,1.0766193722727793e-4,0.9999140999684307,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
2,FALSE,4.363225926223596e-4,4.970194469937991e-4,0.0026597846507948626,24.373563342057093,1.0912580214339643e-4,0.9999129319972309,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
3,FALSE,5.269511279274511e-4,5.438615830724964e-4,0.003198486500592008,29.248279356905897,1.0935639876664416e-4,0.9999127480115284,none,hhi_comp_sirzecs1_ma3_dlag4,22601,90677,16471,29619,0.953142208869689,0.94558721065835,0.0028270426726173525,0.00249501776558525,panelpanSIZE3-acco_isin,NA
