variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.03637069658508173,0.0014905892091329447,24.40021460120328,6.653409542903267e-44,fe0215_god2,~minmax_year,12,25774,25774,0.15436330277162058,0.15103635876959243,0.13944324066835978,0.13940971944837954,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04597768758590476,0.01142829952885937,-4.023143379275226,1.1168934048612541e-4,fe0215_god2,~minmax_year,12,25774,25774,0.23089593414281262,0.2278400105435202,0.21732618195009223,0.21726520467471933,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07865073991247934,0.009508594402299751,8.271542205381781,5.901542953974201e-13,fe0215_god2,~minmax_year,12,25774,25774,0.23089593414281262,0.2278400105435202,0.21732618195009223,0.21726520467471933,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.03286442822414202,0.002087933156359037,15.740172583614413,8.113939032777154e-29,fe0215_god2,~minmax_year,12,25774,25774,0.23547131395970733,0.2324335699693637,0.2219822878651303,0.22192167334196145,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.0861907131676524,0.012289503567703879,7.0133600346686675,2.79861438346792e-10,fe0215_god2,~minmax_year,12,25774,25774,0.23547131395970733,0.2324335699693637,0.2219822878651303,0.22192167334196145,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.03295150623235,0.0019616637899472046,16.797733842676905,7.124447800354346e-31,fe0215_god2,~minmax_year,12,25774,25774,0.23193950048340173,0.22888772334380092,0.2183881605410738,0.21832726600331065,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08540290316835951,0.013484741841696854,6.33329908506523,6.900073360311662e-9,fe0215_god2,~minmax_year,12,25774,25774,0.23193950048340173,0.22888772334380092,0.2183881605410738,0.21832726600331065,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.035851420497218546,0.0015909177296381581,22.535056231583184,5.623278144480935e-41,fe0215_god2,~minmax_year,12,25774,25774,0.15606159044946544,0.1527083234254245,0.14117149222750935,0.141104581822167,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.020103225819476878,0.0049222130312471515,4.084184429210549,8.927233364222197e-5,fe0215_god2,~minmax_year,12,25774,25774,0.15606159044946544,0.1527083234254245,0.14117149222750935,0.141104581822167,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.03635732422448227,0.0014962641659161595,24.298733507542604,9.509942075363556e-44,fe0215_god2,~minmax_year,12,25774,25774,0.15450021010385218,0.15114073916117732,0.13958256353660814,0.13951552933954037,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.009133068674101954,0.009518604880434772,0.959496563711214,0.3396228281062885,fe0215_god2,~minmax_year,12,25774,25774,0.15450021010385218,0.15114073916117732,0.13958256353660814,0.13951552933954037,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.025015761551709488,0.0020296622770374206,12.32508572225303,8.8277442674963285e-22,fe0215_god2,~minmax_year,12,25774,25774,0.021326290982820684,0.017475946459186598,0.004058979186604472,0.004020184350954303,le5_panelsize40-fixed-one,fe0215_god2~before1994 | minmax_year
maxmfg,0.0394061540684137,0.004827279861094668,8.163221359094287,1.0115318701161069e-12,fe0215_god2,~minmax_year,12,25774,25774,0.0268148819436701,0.022986130894913193,0.00964440856312776,0.009605831296399914,le5_panelsize40-fixed-one,fe0215_god2~maxmfg | minmax_year
ln_emp_mean_0215,0.03196087083507182,0.001859373213605807,17.189056291228052,1.280551892559577e-31,fe0215_god2,~minmax_year,12,25774,25774,0.2333444277690241,0.23023826159535077,0.2198178757792777,0.21969630000706675,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08638232161120439,0.013476494882854205,6.409850807802137,4.838443512584601e-9,fe0215_god2,~minmax_year,12,25774,25774,0.2333444277690241,0.23023826159535077,0.2198178757792777,0.21969630000706675,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.002655164621383111,0.0018132406742802666,1.4643200205273528,0.1462432048579121,fe0215_god2,~minmax_year,12,25774,25774,0.2333444277690241,0.23023826159535077,0.2198178757792777,0.21969630000706675,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.01528637555740538,0.0029351294502450625,5.208075424451578,1.024238095803801e-6,fe0215_god2,~minmax_year,12,25774,25774,0.2333444277690241,0.23023826159535077,0.2198178757792777,0.21969630000706675,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.028797042370871145,0.0015175064551949627,18.976553458661513,6.454003527933168e-35,fe0215_god2,~minmax_year,12,25774,25774,0.3091957063209918,0.304337160122335,0.1464839901628857,0.14638394139839883,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
prod_res_mean_0215,0.0689525118075804,0.010734487493105235,6.423456345900876,4.54188335454504e-9,fe0215_god2,~minmax_year,12,25774,25774,0.3091957063209918,0.304337160122335,0.1464839901628857,0.14638394139839883,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
before1994,0.004005754657411147,0.0018697064610797077,2.14245109635976,0.034584563383670455,fe0215_god2,~minmax_year,12,25774,25774,0.3091957063209918,0.304337160122335,0.1464839901628857,0.14638394139839883,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
ln_emp_mean_0215,0.035620965841610466,0.0014166697735806834,25.144156038267976,5.00882439496047e-45,fe0215_god2,~minmax_year,12,25774,25774,0.15617438768380298,0.1527555609402258,0.14128627960932616,0.1411524662593101,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
tfp_cd_mean_0215,0.01966836511654653,0.005028761169830081,3.9111750294578242,1.6752568117369527e-4,fe0215_god2,~minmax_year,12,25774,25774,0.15617438768380298,0.1527555609402258,0.14128627960932616,0.1411524662593101,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,-3.3461421704229517e-5,0.002040747801967841,-0.016396647185881335,0.9869506241179646,fe0215_god2,~minmax_year,12,25774,25774,0.15617438768380298,0.1527555609402258,0.14128627960932616,0.1411524662593101,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.004430009695554439,0.003115050007501688,1.4221311647922361,0.15809981964771028,fe0215_god2,~minmax_year,12,25774,25774,0.15617438768380298,0.1527555609402258,0.14128627960932616,0.1411524662593101,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.030331788266243966,0.0012003859658824669,25.2683629501995,3.27001237881773e-45,fe0215_god2,~minmax_year,12,25774,25774,0.2720492875818331,0.2669294841889026,0.10058812154699459,0.10048269288933975,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
tfp_cd_mean_0215,0.015219080802578047,0.004143588989727034,3.6729223965769418,3.873345090498398e-4,fe0215_god2,~minmax_year,12,25774,25774,0.2720492875818331,0.2669294841889026,0.10058812154699459,0.10048269288933975,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
before1994,0.003413620030730393,0.0018681775134053661,1.8272460760476403,0.07064522879337302,fe0215_god2,~minmax_year,12,25774,25774,0.2720492875818331,0.2669294841889026,0.10058812154699459,0.10048269288933975,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
ln_emp_mean_0215,0.03604521014810576,0.001327942685368878,27.143649003264827,6.272067556061195e-48,fe0215_god2,~minmax_year,12,25774,25774,0.1547005614587339,0.1512757633907027,0.1397864498074498,0.1396524027389714,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
tfp_tl_mean_0215,0.009240642054742022,0.009385010400812152,0.9846171352076886,0.3271884708366992,fe0215_god2,~minmax_year,12,25774,25774,0.1547005614587339,0.1512757633907027,0.1397864498074498,0.1396524027389714,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
before1994,-2.6076373728229556e-4,0.0021146159959272498,-0.12331493651070762,0.9021052233343376,fe0215_god2,~minmax_year,12,25774,25774,0.1547005614587339,0.1512757633907027,0.1397864498074498,0.1396524027389714,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.005886076461376788,0.0028678614032073193,2.0524270994386264,0.04274039873469865,fe0215_god2,~minmax_year,12,25774,25774,0.1547005614587339,0.1512757633907027,0.1397864498074498,0.1396524027389714,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.03058864550008039,0.0011452695803664406,26.70868590632892,2.5987767566614157e-47,fe0215_god2,~minmax_year,12,25774,25774,0.27118243522206953,0.2660565351064119,0.09951709119296626,0.09941153698961291,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
tfp_tl_mean_0215,0.002818629820917973,0.005162317841950122,0.5460008289325333,0.5862813979352167,fe0215_god2,~minmax_year,12,25774,25774,0.27118243522206953,0.2660565351064119,0.09951709119296626,0.09941153698961291,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
before1994,0.0034133117323446593,0.0018736121617045217,1.821781370825109,0.07147743632945977,fe0215_god2,~minmax_year,12,25774,25774,0.27118243522206953,0.2660565351064119,0.09951709119296626,0.09941153698961291,le5_panelsize40-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
ln_emp_mean_0215,0.03496701295025101,0.0013147005343942047,26.59694130752241,3.7549324983656787e-47,fe0215_mlo_le,~minmax_year,12,25774,25774,0.13965588562445763,0.13627107900432944,0.1266219196324898,0.12658789898429856,le5_panelsize40-fixed-one,fe0215_mlo_le~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04642116035020882,0.011309693259080393,-4.104546364503558,8.280548820363077e-5,fe0215_mlo_le,~minmax_year,12,25774,25774,0.21328037268299282,0.2101544562018921,0.20136179650361574,0.20129957546014277,le5_panelsize40-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07773364486320533,0.009585575973261271,8.10943912812766,1.3212140784741599e-12,fe0215_mlo_le,~minmax_year,12,25774,25774,0.21328037268299282,0.2101544562018921,0.20136179650361574,0.20129957546014277,le5_panelsize40-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.031479220550362765,0.0018955614313481662,16.606805788390634,1.6575938048797537e-30,fe0215_mlo_le,~minmax_year,12,25774,25774,0.2186942416822497,0.21558983642540697,0.2068576840617753,0.20679589119699104,le5_panelsize40-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08573653907270179,0.012230537623257558,7.010038455682063,2.843507645154054e-10,fe0215_mlo_le,~minmax_year,12,25774,25774,0.2186942416822497,0.21558983642540697,0.2068576840617753,0.20679589119699104,le5_panelsize40-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.03154693922078616,0.0017695565661073479,17.827595808470136,8.115251729738012e-33,fe0215_mlo_le,~minmax_year,12,25774,25774,0.21609507375601744,0.21298034108191488,0.20421913948869674,0.20415714105774263,le5_panelsize40-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
