variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.03255293473307813,0.001072974185006005,30.338972910980093,1.4912351483620457e-52,fe0215_god2,~minmax_year,12,24911,24911,0.14258943421410697,0.13906412472885377,0.12303807413841916,0.12300272417365532,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04816044447217199,0.009603663012927224,-5.014799499664301,2.275441405529706e-6,fe0215_god2,~minmax_year,12,24911,24911,0.24049480968043835,0.23734130322649727,0.22317596612072454,0.22311333669887756,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07772147207648841,0.008001023154797997,9.713941651310051,3.8307032312076916e-16,fe0215_god2,~minmax_year,12,24911,24911,0.24049480968043835,0.23734130322649727,0.22317596612072454,0.22311333669887756,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.029656072031493994,0.0018820320580501414,15.757474430174607,5.727212780059133e-29,fe0215_god2,~minmax_year,12,24911,24911,0.24606491428820465,0.24293453520857733,0.22887308469961687,0.22881091459317116,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08498001043268602,0.011627162862894617,7.3087486117425895,6.46516112897342e-11,fe0215_god2,~minmax_year,12,24911,24911,0.24606491428820465,0.24293453520857733,0.22887308469961687,0.22881091459317116,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.030011984226098312,0.001745804081846526,17.190923390644627,9.258069957953808e-32,fe0215_god2,~minmax_year,12,24911,24911,0.23635868506580504,0.23318800519970995,0.2189455262913208,0.21888255580124072,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08226798342336657,0.013702464154042847,6.003882403815213,3.047703494749305e-8,fe0215_god2,~minmax_year,12,24911,24911,0.23635868506580504,0.23318800519970995,0.2189455262913208,0.21888255580124072,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.0321967787756124,0.0011910285297699716,27.032751920586406,4.83402058498586e-48,fe0215_god2,~minmax_year,12,24911,24911,0.14402220217300676,0.14046813625708865,0.12450351321590214,0.124432928583598,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.01560389918208889,0.006253942102189603,2.49505015030851,0.014214734878667748,fe0215_god2,~minmax_year,12,24911,24911,0.14402220217300676,0.14046813625708865,0.12450351321590214,0.124432928583598,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.032561400780427456,0.0010543735514762604,30.882224553942244,2.951818720978341e-53,fe0215_god2,~minmax_year,12,24911,24911,0.1426082006360757,0.1390482637096241,0.12305726848732035,0.122986567255288,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.0028692011107531584,0.00800106222959173,0.35860252406755305,0.7206409451143614,fe0215_god2,~minmax_year,12,24911,24911,0.1426082006360757,0.1390482637096241,0.12305726848732035,0.122986567255288,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.010324335000716018,0.0026250726905573314,3.932971089849725,1.540456790707378e-4,fe0215_god2,~minmax_year,12,24911,24911,0.023201565977982508,0.019185384090275037,9.278284396218028e-4,8.875562624386379e-4,le5_panelsize10-fixed-one,fe0215_god2~before1994 | minmax_year
maxmfg,0.026628475115887475,0.004245227695697363,6.272566991607082,8.900094825910686e-9,fe0215_god2,~minmax_year,12,24911,24911,0.028581216498384854,0.024587153457544697,0.00643015004503622,0.006390099664112525,le5_panelsize10-fixed-one,fe0215_god2~maxmfg | minmax_year
ln_emp_mean_0215,0.02919933801845066,0.0015755137347428,18.533217054573885,2.8518973519432407e-34,fe0215_god2,~minmax_year,12,24911,24911,0.2388244132692352,0.2356023436620298,0.2214674799973022,0.22134193554739257,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.0835615320486107,0.013539442595382513,6.171711387668832,1.41637685191002e-8,fe0215_god2,~minmax_year,12,24911,24911,0.2388244132692352,0.2356023436620298,0.2214674799973022,0.22134193554739257,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.0018870697583766123,0.001978291985727227,-0.9538883905870543,0.34241755162573795,fe0215_god2,~minmax_year,12,24911,24911,0.2388244132692352,0.2356023436620298,0.2214674799973022,0.22134193554739257,le5_panelsize10-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
