variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.02747113215939053,6.649112188483617e-4,41.315489016670575,1.6540276609269743e-65,fe0215_god2,~minmax_year,12,25273,25273,0.1141288068730818,0.1105035244664676,0.0891926411760775,0.08915645351034485,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.05362408106625613,0.010349346122921039,-5.181397977162355,1.1152093702339059e-6,fe0215_god2,~minmax_year,12,25273,25273,0.2335346017833232,0.23036738939399815,0.21195955981419878,0.21189693740159654,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.08008819367687808,0.009210195439969763,8.695601977056528,6.192757842818324e-14,fe0215_god2,~minmax_year,12,25273,25273,0.2335346017833232,0.23036738939399815,0.21195955981419878,0.21189693740159654,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.026823819390581594,0.001455960151793189,18.423457096366857,3.186789044634762e-34,fe0215_god2,~minmax_year,12,25273,25273,0.23844963575061995,0.23530273341901098,0.21701294583805386,0.21695072499776769,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08602783302264527,0.011690942458274456,7.35850281785945,4.8676769348547185e-11,fe0215_god2,~minmax_year,12,25273,25273,0.23844963575061995,0.23530273341901098,0.21701294583805386,0.21695072499776769,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.026751514464163614,0.0012058203758969481,22.18532295431194,8.03676140364451e-41,fe0215_god2,~minmax_year,12,25273,25273,0.22781182995240778,0.22462096974559953,0.20607569911649437,0.2060126091370853,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08380470798737485,0.013209415478248625,6.344316152775455,6.2171454568327455e-9,fe0215_god2,~minmax_year,12,25273,25273,0.22781182995240778,0.22462096974559953,0.20607569911649437,0.2060126091370853,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.02710539840098728,7.125660762487666e-4,38.039136726352396,4.543641719099615e-62,fe0215_god2,~minmax_year,12,25273,25273,0.11592928115136203,0.11227609636273128,0.091043796552563,0.09097156544930118,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.01553544723039723,0.0041607997948916045,3.733764659734596,3.108485599801835e-4,fe0215_god2,~minmax_year,12,25273,25273,0.11592928115136203,0.11227609636273128,0.091043796552563,0.09097156544930118,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.027461006387983915,6.52759438929825e-4,42.069106550194384,2.8957751922585327e-66,fe0215_god2,~minmax_year,12,25273,25273,0.11414624990246369,0.11048569721611023,0.08921057520491182,0.08913819842290327,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,-0.002338355327863831,0.00648704831565743,-0.36046522456444047,0.71924465024772255,fe0215_god2,~minmax_year,12,25273,25273,0.11414624990246369,0.11048569721611023,0.08921057520491182,0.08913819842290327,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.008824435205992118,0.0017205657216771578,5.128798682209194,1.3931974177528942e-6,fe0215_god2,~minmax_year,12,25273,25273,0.02799962882246121,0.02402187689623103,6.390345269422504e-4,5.993285010582605e-4,panelpanSIZE2-fixed-one,fe0215_god2~before1994 | minmax_year
maxmfg,0.019481334027610996,0.004861026699224471,4.007658306159695,1.168064699900303e-4,fe0215_god2,~minmax_year,12,25273,25273,0.03095159069695963,0.026985919190018026,0.003674090434754973,0.0036345049959387588,panelpanSIZE2-fixed-one,fe0215_god2~maxmfg | minmax_year
ln_emp_mean_0215,0.025933813178462516,0.001072232719932686,24.186739218413912,4.83747973062738e-44,fe0215_god2,~minmax_year,12,25273,25273,0.23030207187684992,0.22706007949104945,0.20863603823535404,0.208510255200821,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08523881966376323,0.013026802908989379,6.543341467532502,2.4479827280609443e-9,fe0215_god2,~minmax_year,12,25273,25273,0.23030207187684992,0.22706007949104945,0.20863603823535404,0.208510255200821,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,7.404263172130846e-4,0.0013998936709392969,0.528916111690308,0.5980127581048325,fe0215_god2,~minmax_year,12,25273,25273,0.23030207187684992,0.22706007949104945,0.20863603823535404,0.208510255200821,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.016551117706695474,0.0032102593206838996,5.155694930953271,1.2435198410269601e-6,fe0215_god2,~minmax_year,12,25273,25273,0.23030207187684992,0.22706007949104945,0.20863603823535404,0.208510255200821,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.025558119341169517,0.0010495823379398901,24.350752120443207,2.685428758002043e-44,fe0215_god2,~minmax_year,12,25273,25273,0.3493855691795671,0.34469220454768723,0.15259768873431223,0.15249636925984733,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
prod_res_mean_0215,0.06224518554100337,0.009895536540582976,6.29022845661043,7.99393248443984e-9,fe0215_god2,~minmax_year,12,25273,25273,0.3493855691795671,0.34469220454768723,0.15259768873431223,0.15249636925984733,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
before1994,0.0019757853339288974,0.0012409838184473249,1.5921120844274426,0.11445399500027062,fe0215_god2,~minmax_year,12,25273,25273,0.3493855691795671,0.34469220454768723,0.15259768873431223,0.15249636925984733,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
ln_emp_mean_0215,0.02712639417755725,5.27187678954493e-4,51.45490924855018,8.718157991087687e-75,fe0215_god2,~minmax_year,12,25273,25273,0.11620771890787884,0.1124851574441672,0.09133007198354837,0.09118564379821636,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
tfp_cd_mean_0215,0.015162393171024129,0.004164384293927277,3.6409687725349276,4.2866412105329194e-4,fe0215_god2,~minmax_year,12,25273,25273,0.11620771890787884,0.1124851574441672,0.09133007198354837,0.09118564379821636,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.004869748273224753,0.0017155280121812788,-2.8386294124296523,0.00546824311495634,fe0215_god2,~minmax_year,12,25273,25273,0.11620771890787884,0.1124851574441672,0.09133007198354837,0.09118564379821636,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.003413249800896155,0.0035925292064762403,0.9500966045712589,0.3443089576962042,fe0215_god2,~minmax_year,12,25273,25273,0.11620771890787884,0.1124851574441672,0.09133007198354837,0.09118564379821636,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.026218106535052237,7.363189435995751e-4,35.60699716196649,2.4054392189929377e-59,fe0215_god2,~minmax_year,12,25273,25273,0.30547256185535,0.3004624201191026,0.0954025480513061,0.09529439005218898,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
tfp_cd_mean_0215,0.01247805429827411,0.0026757592791803227,4.663369532290875,9.455716383100329e-6,fe0215_god2,~minmax_year,12,25273,25273,0.30547256185535,0.3004624201191026,0.0954025480513061,0.09529439005218898,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
before1994,-2.4635966929096795e-4,0.0014540824141519603,-0.16942620782237305,0.86579696921728,fe0215_god2,~minmax_year,12,25273,25273,0.30547256185535,0.3004624201191026,0.0954025480513061,0.09529439005218898,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
ln_emp_mean_0215,0.027467326552092015,4.893690218569107e-4,56.12804514651795,1.659039042260649e-78,fe0215_god2,~minmax_year,12,25273,25273,0.11451697503265013,0.11078729210145166,0.08959173578366697,0.08944703129916942,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
tfp_tl_mean_0215,-0.002359711109887925,0.006425839339402722,-0.367222239033953,0.7142140441735464,fe0215_god2,~minmax_year,12,25273,25273,0.11451697503265013,0.11078729210145166,0.08959173578366697,0.08944703129916942,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.00552661471583274,0.0018256715070167696,-3.0271681924112848,0.0031256845924612555,fe0215_god2,~minmax_year,12,25273,25273,0.11451697503265013,0.11078729210145166,0.08959173578366697,0.08944703129916942,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.004031881266451213,0.003265635147619416,1.2346392307145442,0.2198015206000558,fe0215_god2,~minmax_year,12,25273,25273,0.11451697503265013,0.11078729210145166,0.08959173578366697,0.08944703129916942,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.0264578442072232,7.244187949997173e-4,36.52285720614624,2.1738883453027624e-60,fe0215_god2,~minmax_year,12,25273,25273,0.3046309377503844,0.2996147247550004,0.09430636238744783,0.09419807332312846,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
tfp_tl_mean_0215,-0.008207524030392153,0.0033939672740419275,-2.418268465098571,0.017367549254432468,fe0215_god2,~minmax_year,12,25273,25273,0.3046309377503844,0.2996147247550004,0.09430636238744783,0.09419807332312846,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
before1994,-5.693195346774538e-4,0.0014782237757452483,-0.38513758472761045,0.7009374320460768,fe0215_god2,~minmax_year,12,25273,25273,0.3046309377503844,0.2996147247550004,0.09430636238744783,0.09419807332312846,panelpanSIZE2-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
ln_emp_mean_0215,0.02551961605984858,5.279704776743554e-4,48.335308770026934,4.006992441754829e-72,fe0215_mlo_le,~minmax_year,12,25273,25273,0.0992528438437853,0.09556668400095925,0.07794950306059156,0.07791286868906555,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.0535018222765451,0.009578442925752903,-5.585649222035705,1.9408860731915218e-7,fe0215_mlo_le,~minmax_year,12,25273,25273,0.21457643029658313,0.21133087835566,0.19600057818293792,0.1959366875740841,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07804017039206831,0.008663899010450808,9.007511548545585,1.274945352064278e-14,fe0215_mlo_le,~minmax_year,12,25273,25273,0.21457643029658313,0.21133087835566,0.19600057818293792,0.1959366875740841,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.024885828673024135,0.0012635372671396111,19.695365795866504,1.5451491848817272e-36,fe0215_mlo_le,~minmax_year,12,25273,25273,0.22047892002198377,0.21725775853447127,0.2020426661843141,0.2019792557159562,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.0842303104663235,0.011004779867059307,7.653975043921664,1.1387515621776379e-11,fe0215_mlo_le,~minmax_year,12,25273,25273,0.22047892002198377,0.21725775853447127,0.2020426661843141,0.2019792557159562,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.024811442137989085,0.0010260685209629646,24.18107721958331,4.937020775500417e-44,fe0215_mlo_le,~minmax_year,12,25273,25273,0.21123920194919898,0.2079798598084932,0.1925844219008166,0.19252025982372667,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08247199744997201,0.012405602284552397,6.647964005154923,1.4934012851833118e-9,fe0215_mlo_le,~minmax_year,12,25273,25273,0.21123920194919898,0.2079798598084932,0.1925844219008166,0.19252025982372667,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.025144206509258606,5.631592276669038e-4,44.64848531991177,9.125792877656403e-69,fe0215_mlo_le,~minmax_year,12,25273,25273,0.1011824148857925,0.09746829263325452,0.07992470989416622,0.07985159520169116,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.015946450468341235,0.003910574561435921,4.077776863174262,9.027796773661285e-5,fe0215_mlo_le,~minmax_year,12,25273,25273,0.1011824148857925,0.09746829263325452,0.07992470989416622,0.07985159520169116,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.02551937557456303,5.184097818660735e-4,49.22626167026249,6.709021789286267e-73,fe0215_mlo_le,~minmax_year,12,25273,25273,0.0992528538515367,0.09553075820629509,0.07794951330503364,0.07787624165160911,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,-5.553552674203866e-5,0.006433184128748354,-0.008632665509116044,0.9931290767426457,fe0215_mlo_le,~minmax_year,12,25273,25273,0.0992528538515367,0.09553075820629509,0.07794951330503364,0.07787624165160911,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.009372917586934948,0.001797564196718743,5.21423246193053,9.699731054074474e-7,fe0215_mlo_le,~minmax_year,12,25273,25273,0.02381755317237033,0.01982268678819754,7.30111608764239e-4,6.904092015017627e-4,panelpanSIZE2-fixed-one,fe0215_mlo_le~before1994 | minmax_year
maxmfg,0.014683297013525923,0.0034836189507629718,4.2149549709821255,5.410123500171581e-5,fe0215_mlo_le,~minmax_year,12,25273,25273,0.025169200605606123,0.02117986561662677,0.002113726509998415,0.002074079075714663,panelpanSIZE2-fixed-one,fe0215_mlo_le~maxmfg | minmax_year
ln_emp_mean_0215,0.024130214373598954,9.563325402398908e-4,25.232033166565703,1.1919219863995245e-45,fe0215_mlo_le,~minmax_year,12,25273,25273,0.21273327395801123,0.20941728123129866,0.19411382982486414,0.1939857385636109,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08362328536501125,0.012310324462124949,6.7929391806279495,7.4952161954738e-10,fe0215_mlo_le,~minmax_year,12,25273,25273,0.21273327395801123,0.20941728123129866,0.19411382982486414,0.1939857385636109,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.002390439572100345,0.001605094859666091,1.489282429449453,0.13949858031560558,fe0215_mlo_le,~minmax_year,12,25273,25273,0.21273327395801123,0.20941728123129866,0.19411382982486414,0.1939857385636109,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.012459061520658973,0.002174980843091786,5.728354601481513,1.0312992687843869e-7,fe0215_mlo_le,~minmax_year,12,25273,25273,0.21273327395801123,0.20941728123129866,0.19411382982486414,0.1939857385636109,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.023831787360765386,9.412558219978382e-4,25.319139392074987,8.79836822140906e-46,fe0215_mlo_le,~minmax_year,12,25273,25273,0.32816386533766095,0.32331741280990667,0.1399404050482489,0.13983757220839177,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
prod_res_mean_0215,0.06166852324629593,0.009305886550944074,6.626829470647234,1.6505643362811716e-9,fe0215_mlo_le,~minmax_year,12,25273,25273,0.32816386533766095,0.32331741280990667,0.1399404050482489,0.13983757220839177,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
before1994,0.0034694718320588524,0.001372691108583252,2.5274963976707605,0.013022688277229251,fe0215_mlo_le,~minmax_year,12,25273,25273,0.32816386533766095,0.32331741280990667,0.1399404050482489,0.13983757220839177,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
ln_emp_mean_0215,0.025277932364769117,4.627831964645123e-4,54.621543214798876,2.435819431016148e-77,fe0215_mlo_le,~minmax_year,12,25273,25273,0.10126076290950126,0.09747524438722543,0.08000491090695983,0.07985868264834217,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
tfp_cd_mean_0215,0.01583706021655892,0.003929401636686528,4.030399964385809,1.0747634651148007e-4,fe0215_mlo_le,~minmax_year,12,25273,25273,0.10126076290950126,0.09747524438722543,0.08000491090695983,0.07985868264834217,panelpanSIZE2-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
