variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.031048663921292297,5.56997249967806e-4,55.74293934680446,9.453693270664823e-79,fe0215_god2,~minmax_year,12,43479,43479,0.11057500690369415,0.108442388300798,0.0931504698576463,0.09312956218184643,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04714699554604995,0.010744030329054669,-4.388203877138372,2.770678008196438e-5,fe0215_god2,~minmax_year,12,43479,43479,0.2046235103348243,0.2026980144868349,0.18904145764089264,0.18900406301555617,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07657666675497166,0.009861060084069036,7.765561319181549,6.2485340064377316e-12,fe0215_god2,~minmax_year,12,43479,43479,0.2046235103348243,0.2026980144868349,0.18904145764089264,0.18900406301555617,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.029888287450068413,0.0011931053432026305,25.050836977931755,1.2885683534307679e-45,fe0215_god2,~minmax_year,12,43479,43479,0.2119364788932352,0.21002868672492292,0.1964976930206226,0.1964606422145,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08411032112888654,0.012795402444299215,6.573479927265636,2.062994378448215e-9,fe0215_god2,~minmax_year,12,43479,43479,0.2119364788932352,0.21002868672492292,0.1964976930206226,0.1964606422145,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.029538522162818773,0.0010178241371294873,29.02124353832345,2.1872140966245082e-51,fe0215_god2,~minmax_year,12,43479,43479,0.2067968192101337,0.2048765846406334,0.19125734335101596,0.19122005090379546,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.0829744819923204,0.01460622045702503,5.6807633594502445,1.2513751566021952e-7,fe0215_god2,~minmax_year,12,43479,43479,0.2067968192101337,0.2048765846406334,0.19125734335101596,0.19122005090379546,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.03058085321823456,5.842772993257115e-4,52.339622390817794,4.993125228447586e-76,fe0215_god2,~minmax_year,12,43479,43479,0.11239240148912844,0.11024362695557899,0.0950034686362694,0.09496173776538819,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.017805513858195246,0.00516146020584714,3.4497047633970594,8.145875096675885e-4,fe0215_god2,~minmax_year,12,43479,43479,0.11239240148912844,0.11024362695557899,0.0950034686362694,0.09496173776538819,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.031053307574529072,5.580017003125837e-4,55.650919266255826,1.1146896707549152e-78,fe0215_god2,~minmax_year,12,43479,43479,0.11060190644990664,0.10844879737691737,0.09317789638718299,0.09313608133617834,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.003373811857014863,0.008376910056508353,0.4027513527369934,0.6879658564682092,fe0215_god2,~minmax_year,12,43479,43479,0.11060190644990664,0.10844879737691737,0.09317789638718299,0.09313608133617834,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.010617552533666839,0.001130279589541086,9.393739948872081,1.649130707181673e-15,fe0215_god2,~minmax_year,12,43479,43479,0.02008851689492286,0.01773893432834084,8.912781488297217e-4,8.682434109256176e-4,panelpanSIZE3-fixed-one,fe0215_god2~before1994 | minmax_year
maxmfg,0.017190432175565158,0.0027642331123397396,6.218879333593757,1.0854235970131411e-8,fe0215_god2,~minmax_year,12,43479,43479,0.02163142553884123,0.01928554248115777,0.002464413589873371,0.0024414151210577772,panelpanSIZE3-fixed-one,fe0215_god2~maxmfg | minmax_year
ln_emp_mean_0215,0.029026170806938915,9.533869011339544e-4,30.44532159233078,2.622278506640759e-53,fe0215_god2,~minmax_year,12,43479,43479,0.20756238970481844,0.2056073777313434,0.19203791197544684,0.1919633956315281,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08364663969195042,0.014552631836526135,5.747870256842679,9.275423038130729e-8,fe0215_god2,~minmax_year,12,43479,43479,0.20756238970481844,0.2056073777313434,0.19203791197544684,0.1919633956315281,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.0010635780839018457,0.0012537638254796718,0.8483081600276162,0.3982334978127625,fe0215_god2,~minmax_year,12,43479,43479,0.20756238970481844,0.2056073777313434,0.19203791197544684,0.1919633956315281,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.009744531620866866,0.0023027365802222714,4.231717906668368,5.043646048539615e-5,fe0215_god2,~minmax_year,12,43479,43479,0.20756238970481844,0.2056073777313434,0.19203791197544684,0.1919633956315281,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.027521246399761553,0.001008530578753031,27.28846004232159,6.021817617302293e-49,fe0215_god2,~minmax_year,12,43479,43479,0.2960935961045119,0.29311831323321325,0.14291178108689184,0.14285239167340902,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
prod_res_mean_0215,0.06771606552904802,0.011870452074980886,5.704590280244829,1.1253620816397724e-7,fe0215_god2,~minmax_year,12,43479,43479,0.2960935961045119,0.29311831323321325,0.14291178108689184,0.14285239167340902,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
before1994,0.003317651221428443,9.838676753109654e-4,3.372050230616482,0.0010518547424838288,fe0215_god2,~minmax_year,12,43479,43479,0.2960935961045119,0.29311831323321325,0.14291178108689184,0.14285239167340902,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
ln_emp_mean_0215,0.0307183942259016,5.450380924361118e-4,56.36008684934686,3.151836145931204e-79,fe0215_god2,~minmax_year,12,43479,43479,0.11245576683786407,0.11026611861789337,0.09506807536215878,0.09498461573018002,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
tfp_cd_mean_0215,0.017759866035341746,0.005228559700815092,3.39670330867086,9.70276021537021e-4,fe0215_god2,~minmax_year,12,43479,43479,0.11245576683786407,0.11026611861789337,0.09506807536215878,0.09498461573018002,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.002742416886639563,0.0013915198288119302,-1.970806904692849,0.051429483879261495,fe0215_god2,~minmax_year,12,43479,43479,0.11245576683786407,0.11026611861789337,0.09506807536215878,0.09498461573018002,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,-7.636633153119896e-4,0.0023744235709760894,-0.32162050808738357,0.7483919777881116,fe0215_god2,~minmax_year,12,43479,43479,0.11245576683786407,0.11026611861789337,0.09506807536215878,0.09498461573018002,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.028278762403733365,6.170794279891366e-4,45.82677872747234,2.5094675684752662e-70,fe0215_god2,~minmax_year,12,43479,43479,0.2486965202036241,0.2455208986121531,0.0852003081683802,0.08513691980770355,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
tfp_cd_mean_0215,0.015097702821205775,0.0031009862171121946,4.868677821878734,4.068422386315843e-6,fe0215_god2,~minmax_year,12,43479,43479,0.2486965202036241,0.2455208986121531,0.0852003081683802,0.08513691980770355,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
before1994,0.0014118350097274725,0.001039318912771928,1.3584232831499439,0.17729722353700408,fe0215_god2,~minmax_year,12,43479,43479,0.2486965202036241,0.2455208986121531,0.0852003081683802,0.08513691980770355,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
ln_emp_mean_0215,0.031159546601974043,5.448908828238477e-4,57.184929284359676,7.388846503528048e-80,fe0215_god2,~minmax_year,12,43479,43479,0.11068491719201301,0.10849090013313822,0.09326253337519219,0.09317890722254418,panelpanSIZE3-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
