distance,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,0.001098404764760504,0.0010358901336324244,2.636575312604495e-6,4.51900898968029e-5,0.05834410417473029,0.9534754815160047,none,hhi_comp_sirzecs1_ma3,21201,86614,13514,24291,0.9534890790666344,0.9453673136308556,2.6776316308974035e-4,-3.05146243224641e-5,panelpanSIZE2-acco_alt,NA
-4,0.0010112565137874385,9.257839160615988e-4,-4.106593061846754e-6,3.910660042833537e-5,-0.10501022888379861,0.9163693980059414,none,hhi_comp_sirzecs1_ma3,21201,86614,13514,24291,0.9534890790666344,0.9453673136308556,2.6776316308974035e-4,-3.05146243224641e-5,panelpanSIZE2-acco_alt,NA
-3,5.973272802510122e-4,8.758972762980888e-4,-1.0340273251731544e-6,1.082558710888475e-6,-0.9551697425486604,0.33951056604714647,none,hhi_comp_sirzecs1_ma3,21201,86614,13514,24291,0.9534890790666344,0.9453673136308556,2.6776316308974035e-4,-3.05146243224641e-5,panelpanSIZE2-acco_alt,NA
-2,6.019149084202884e-4,8.720303359927325e-4,7.27241415858287e-8,6.302137076283176e-7,0.11539600092088027,0.9081331252859315,none,hhi_comp_sirzecs1_ma3,21201,86614,13514,24291,0.9534890790666344,0.9453673136308556,2.6776316308974035e-4,-3.05146243224641e-5,panelpanSIZE2-acco_alt,NA
0,7.676360336765957e-4,8.613006151389696e-4,1.0525035667876752e-5,1.3843614287334361e-5,0.7602809099865051,0.4471012086959365,none,hhi_comp_sirzecs1_ma3,21201,86614,13514,24291,0.9534890790666344,0.9453673136308556,2.6776316308974035e-4,-3.05146243224641e-5,panelpanSIZE2-acco_alt,NA
1,3.503448951483579e-4,7.777936828411609e-4,2.0903325304503535e-5,1.0403983732148534e-4,0.2009165512236607,0.8407671352795778,none,hhi_comp_sirzecs1_ma3,21201,86614,13514,24291,0.9534890790666344,0.9453673136308556,2.6776316308974035e-4,-3.05146243224641e-5,panelpanSIZE2-acco_alt,NA
2,3.8873675437326284e-4,7.989905952978228e-4,-9.818736571495874e-6,1.3042048388527014e-4,-0.07528523341573658,0.9399889899491343,none,hhi_comp_sirzecs1_ma3,21201,86614,13514,24291,0.9534890790666344,0.9453673136308556,2.6776316308974035e-4,-3.05146243224641e-5,panelpanSIZE2-acco_alt,NA
3,3.8815605916701164e-4,8.451704946732112e-4,-3.8497123277843873e-5,1.3369138499805591e-4,-0.28795515341847705,0.7733859011939401,none,hhi_comp_sirzecs1_ma3,21201,86614,13514,24291,0.9534890790666344,0.9453673136308556,2.6776316308974035e-4,-3.05146243224641e-5,panelpanSIZE2-acco_alt,NA
4,4.239457952001561e-4,8.308158458605349e-4,-4.596984386939334e-6,1.3469941893537508e-4,-0.03412772247477055,0.9727758537267832,none,hhi_comp_sirzecs1_ma3,21201,86614,13514,24291,0.9534890790666344,0.9453673136308556,2.6776316308974035e-4,-3.05146243224641e-5,panelpanSIZE2-acco_alt,NA
5,3.8204407416745896e-4,8.846865585541944e-4,-1.240336493010282e-4,1.5497934626198991e-4,-0.8003237353405238,0.4235386541612406,none,hhi_comp_sirzecs1_ma3,21201,86614,13514,24291,0.9534890790666344,0.9453673136308556,2.6776316308974035e-4,-3.05146243224641e-5,panelpanSIZE2-acco_alt,NA
