quantile,wage_agreement_num_07,participation_siren0912,mean_xval,xname
1,0.019326891036321226,0.3804347813129425,1.7004591683767962,fe0215_mlo_le
2,0.022756328304781387,0.6129973828792572,1.9984850783689836,fe0215_mlo_le
3,0.02300966405890474,0.34833577883486844,2.109559280393093,fe0215_mlo_le
4,0.027471290249943707,0.3103368337507601,2.1760468135943603,fe0215_mlo_le
5,0.021964359718193122,0.36934902881777365,2.222705007005572,fe0215_mlo_le
6,0.03291139240506329,0.39850095392333984,2.2584718821335934,fe0215_mlo_le
7,0.028825235678027555,0.38832187143493696,2.2881501257016508,fe0215_mlo_le
8,0.03648583773403745,0.3877619722704754,2.3137759877438002,fe0215_mlo_le
9,0.043933663078265926,0.42535492943095077,2.3369721022960035,fe0215_mlo_le
10,0.05467816854678169,0.44554437065632707,2.3586652987164287,fe0215_mlo_le
11,0.08194984104556693,0.45295113773558604,2.379584695219646,fe0215_mlo_le
12,0.10637154829698077,0.4820868469516676,2.400307960201436,fe0215_mlo_le
13,0.14532766990291263,0.49620683946096994,2.421635565803201,fe0215_mlo_le
14,0.1701147263494452,0.521366032806129,2.444261460642334,fe0215_mlo_le
15,0.19887640449438201,0.5390538348304764,2.4690337531484556,fe0215_mlo_le
16,0.27128120324434996,0.5462579829366462,2.4973352084841887,fe0215_mlo_le
17,0.3103603942517493,0.5727051841366321,2.5317805047454964,fe0215_mlo_le
18,0.33436601017924317,0.5901079500296968,2.5777119856367037,fe0215_mlo_le
19,0.29371605896043446,0.5788630234323855,2.649244071832307,fe0215_mlo_le
20,0.17548357026334188,0.5354623241319779,2.873435727213859,fe0215_mlo_le
1,0.01953519703603907,0.3804347813129425,1.7050049630387756,fe0215_mlo
2,0.02355072463768116,0.5408865511417389,2.0015360180064583,fe0215_mlo
3,0.021874280451300944,0.33247375355826486,2.1117327209238166,fe0215_mlo
4,0.02675130355928361,0.3160072662350204,2.1774491378592606,fe0215_mlo
5,0.020929259104227712,0.38735871852277226,2.2235568071488276,fe0215_mlo
6,0.031655524970507276,0.3774197816637889,2.2589702794525173,fe0215_mlo
7,0.027858176555716353,0.39625772959220906,2.2882012294588945,fe0215_mlo
8,0.03498074454428755,0.38227898232966057,2.313556012604906,fe0215_mlo
9,0.04153213971235691,0.4127982246533891,2.3365051301375037,fe0215_mlo
10,0.05900906820870022,0.4494124820288949,2.3579869405935656,fe0215_mlo
11,0.07682322397923058,0.4550159003456051,2.378707888058813,fe0215_mlo
12,0.09826778516178233,0.4776391239232068,2.399272430698074,fe0215_mlo
13,0.13980229977809158,0.4927982168323592,2.420411648366193,fe0215_mlo
14,0.16488303816649305,0.5105719394151235,2.4428079126473903,fe0215_mlo
15,0.19648728153659803,0.5446353662839559,2.4674471199429044,fe0215_mlo
16,0.2566378758797185,0.5421916091254895,2.4956273254527366,fe0215_mlo
17,0.3187678009293959,0.5765640764288069,2.529988346972327,fe0215_mlo
18,0.33029947152084554,0.5915795154603426,2.575607521010364,fe0215_mlo
19,0.3101997092355957,0.5776084117474743,2.6467930867443443,fe0215_mlo
20,0.1889063906390639,0.5464926045235742,2.8687479096551933,fe0215_mlo
1,0.019140362659503023,0.3804347813129425,1.7026672234663198,fe0215_le
2,0.023232065356139902,0.5823475137352944,2.000518984414631,fe0215_le
3,0.022606689734717418,0.3193097730045733,2.111239138726178,fe0215_le
