distance,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,7.58329126396137e-4,7.56962592546038e-4,1.4475487407412936e-5,1.9087056240888623e-5,0.7583928723594,0.448223089980064,none,hhi_comp_sirzecs1_ma3,14001,232613,17950,35900,0.9897964117678228,0.9884318818862858,1.9941975751691654e-4,9.221507873047319e-5,panelpanSIZE1,NA
-4,0.0012702879723822044,8.32964822006534e-4,1.5398951595230054e-5,1.422187606042571e-5,1.0827651380031158,0.2789232973379083,none,hhi_comp_sirzecs1_ma3,14001,232613,17950,35900,0.9897964117678228,0.9884318818862858,1.9941975751691654e-4,9.221507873047319e-5,panelpanSIZE1,NA
-3,0.0010081354953542152,0.0010656129338764814,2.4811518070211964e-6,3.3726168925222957e-6,0.7356755558339165,0.46193518402481504,none,hhi_comp_sirzecs1_ma3,14001,232613,17950,35900,0.9897964117678228,0.9884318818862858,1.9941975751691654e-4,9.221507873047319e-5,panelpanSIZE1,NA
-2,0.00100260444987009,0.0010664603900585278,2.0833065852869194e-7,2.2916395545846857e-7,0.9090899924113404,0.3633115320413415,none,hhi_comp_sirzecs1_ma3,14001,232613,17950,35900,0.9897964117678228,0.9884318818862858,1.9941975751691654e-4,9.221507873047319e-5,panelpanSIZE1,NA
0,0.0010655159569930408,0.001059048927608359,-5.724671763095625e-6,8.187724148464603e-6,-0.6991774098995677,0.484447777508892,none,hhi_comp_sirzecs1_ma3,14001,232613,17950,35900,0.9897964117678228,0.9884318818862858,1.9941975751691654e-4,9.221507873047319e-5,panelpanSIZE1,NA
1,5.054409745719274e-4,0.0010611071757088465,-9.998517531171623e-6,4.6555210316524976e-5,-0.21476688566526794,0.8299508523066397,none,hhi_comp_sirzecs1_ma3,14001,232613,17950,35900,0.9897964117678228,0.9884318818862858,1.9941975751691654e-4,9.221507873047319e-5,panelpanSIZE1,NA
2,3.271307302445205e-4,0.0010641937332759347,-3.859276024171848e-5,6.355337674631662e-5,-0.6072495627693805,0.5436909104047567,none,hhi_comp_sirzecs1_ma3,14001,232613,17950,35900,0.9897964117678228,0.9884318818862858,1.9941975751691654e-4,9.221507873047319e-5,panelpanSIZE1,NA
3,3.2920270885067034e-4,0.0010667705742621913,-5.913199890680849e-5,6.940935316226865e-5,-0.8519312774543044,0.39426053021979324,none,hhi_comp_sirzecs1_ma3,14001,232613,17950,35900,0.9897964117678228,0.9884318818862858,1.9941975751691654e-4,9.221507873047319e-5,panelpanSIZE1,NA
4,3.7225735443212294e-4,0.0010610612340905172,-4.258139015666733e-5,7.070703939152238e-5,-0.6022227846492572,0.5470314022905358,none,hhi_comp_sirzecs1_ma3,14001,232613,17950,35900,0.9897964117678228,0.9884318818862858,1.9941975751691654e-4,9.221507873047319e-5,panelpanSIZE1,NA
5,3.462838898071996e-4,0.0010626782324989672,-6.153407310681595e-5,7.254005896177485e-5,-0.8482771311123619,0.39629190516173607,none,hhi_comp_sirzecs1_ma3,14001,232613,17950,35900,0.9897964117678228,0.9884318818862858,1.9941975751691654e-4,9.221507873047319e-5,panelpanSIZE1,NA
6,3.4785488923394113e-4,8.603939584272579e-4,-5.748272058252968e-5,6.808953194185248e-5,-0.8442225837536838,0.3985532474947321,none,hhi_comp_sirzecs1_ma3,14001,232613,17950,35900,0.9897964117678228,0.9884318818862858,1.9941975751691654e-4,9.221507873047319e-5,panelpanSIZE1,NA
-5,1.2462426094945687e-5,1.1094698741956442e-5,-3.90439735025526e-6,1.5235558888468684e-6,-2.5626873151403564,0.010392459106482592,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,14002,232352,17861,35679,0.98981563711268,0.9884503653208789,0.002785581956124328,0.002357269152415631,panelpanSIZE1,NA
-4,9.31627472659149e-6,1.170768892486278e-5,-2.8899957106333504e-6,1.3399235236443936e-6,-2.156836311652317,0.031028091781845228,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,14002,232352,17861,35679,0.98981563711268,0.9884503653208789,0.002785581956124328,0.002357269152415631,panelpanSIZE1,NA
-3,1.2805909659437647e-5,9.311037375052339e-6,5.633726032103924e-7,1.3072721496013494e-6,0.43095280763243676,0.6665064667043648,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,14002,232352,17861,35679,0.98981563711268,0.9884503653208789,0.002785581956124328,0.002357269152415631,panelpanSIZE1,NA
-2,1.2633902286861014e-5,9.356859497295508e-6,-3.341370917330457e-7,3.6846575198697783e-7,-0.9068335114761348,0.3645037413286796,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,14002,232352,17861,35679,0.98981563711268,0.9884503653208789,0.002785581956124328,0.002357269152415631,panelpanSIZE1,NA
0,3.7551534148836626e-5,9.306807757005535e-6,9.960988875712034e-7,1.005932608149903e-6,0.9902242749673007,0.3220742640762912,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,14002,232352,17861,35679,0.98981563711268,0.9884503653208789,0.002785581956124328,0.002357269152415631,panelpanSIZE1,NA
1,7.304138432830416e-5,9.308842703786492e-6,1.0272915215541654e-5,2.1202240978203397e-6,4.845202554816045,1.2725339242505222e-6,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,14002,232352,17861,35679,0.98981563711268,0.9884503653208789,0.002785581956124328,0.002357269152415631,panelpanSIZE1,NA
2,7.986257299883035e-5,9.094006044868329e-6,1.1036291271705332e-5,2.5545923866362113e-6,4.320176999445886,1.5651586691440506e-5,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,14002,232352,17861,35679,0.98981563711268,0.9884503653208789,0.002785581956124328,0.002357269152415631,panelpanSIZE1,NA
