sample,mean,mean_eqtp,n_individuals,n_eqtp,variable
DADS-2005_2012,0.598052740720641,0.6299896011637276,14328752,14934265856,sx
DADS-2005_2012,19512.50567821647,25558.21454946322,14328752,14934265856,sbr
DADS-2005_2012,36.094553202358334,38.865374483518245,14321461,14930021303,age
DADS-2005_2015,0.5954091377202656,0.6264829966745885,19811906,20686930373,sx
DADS-2005_2015,19822.104368241937,26002.002912025535,19811906,20686930373,sbr
DADS-2005_2015,36.40785909425889,39.15796314096304,19804445,20682643578,age
