variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
tfp_cd_mean_0215,0.014138810916491938,0.004072606332709679,3.47168612957609,7.652782471455665e-4,fe0215_god2,~minmax_year,12,24457,24457,0.10874524984549228,0.10493897134614649,0.07975246428825689,0.07960130667726617,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.005427541240474607,0.0014148069364196872,-3.8362416106112343,2.1885046274379124e-4,fe0215_god2,~minmax_year,12,24457,24457,0.10874524984549228,0.10493897134614649,0.07975246428825689,0.07960130667726617,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.009612908906980999,0.004193123915123986,2.292541098608758,0.02396934949908584,fe0215_god2,~minmax_year,12,24457,24457,0.10874524984549228,0.10493897134614649,0.07975246428825689,0.07960130667726617,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.024993662524180053,7.71929634640729e-4,32.378161690621695,8.252913680142003e-55,fe0215_god2,~minmax_year,12,24457,24457,0.10732507273815828,0.10351272909347886,0.07828608839172257,0.07813468991741102,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
tfp_tl_mean_0215,0.003627464170524725,0.007280871380750756,0.49821841107028103,0.6194240991239246,fe0215_god2,~minmax_year,12,24457,24457,0.10732507273815828,0.10351272909347886,0.07828608839172257,0.07813468991741102,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.006078003255885851,0.0015306811198540012,-3.9707834486555766,1.351254889015894e-4,fe0215_god2,~minmax_year,12,24457,24457,0.10732507273815828,0.10351272909347886,0.07828608839172257,0.07813468991741102,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.010179610788385368,0.0038914447394219824,2.6158949876023168,0.010277741392941086,fe0215_god2,~minmax_year,12,24457,24457,0.10732507273815828,0.10351272909347886,0.07828608839172257,0.07813468991741102,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.023196540622344428,8.471281626693194e-4,27.382563400149063,2.8941120232828706e-48,fe0215_mlo_le,~minmax_year,12,24457,24457,0.09101100401289353,0.08724143355119385,0.06645871645988766,0.066420385879574,panelpanSIZE1-fixed,fe0215_mlo_le~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.05780652868003572,0.010585001302156003,-5.461173506729887,3.4605932672578617e-7,fe0215_mlo_le,~minmax_year,12,24457,24457,0.21439319969668902,0.2111029026764485,0.19317353240721025,0.1931072741771378,panelpanSIZE1-fixed,fe0215_mlo_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07939121329263724,0.008937245246070862,8.883186161590508,2.7638312798666715e-14,fe0215_mlo_le,~minmax_year,12,24457,24457,0.21439319969668902,0.2111029026764485,0.19317353240721025,0.1931072741771378,panelpanSIZE1-fixed,fe0215_mlo_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.02187004034286875,0.001944466761872958,11.247320227681852,1.863866490258653e-19,fe0215_mlo_le,~minmax_year,12,24457,24457,0.2194231435785592,0.2161539130884964,0.19833933781117608,0.19827350380754716,panelpanSIZE1-fixed,fe0215_mlo_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08535898251420264,0.010858324734351285,7.861155804648376,4.5142592226898515e-12,fe0215_mlo_le,~minmax_year,12,24457,24457,0.2194231435785592,0.2161539130884964,0.19833933781117608,0.19827350380754716,panelpanSIZE1-fixed,fe0215_mlo_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
