variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.03878329657037621,0.0011648512327462409,33.294634954320415,6.063651205429656e-57,fe0215_god2,~minmax_year,12,46785,46785,0.16176846698008873,0.1599009417137205,0.14742135295209868,0.1474030886280403,le5_panelsize20-fixed,fe0215_god2~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04326435798997069,0.0091088653221843,-4.749697844867897,6.612506280155073e-6,fe0215_god2,~minmax_year,12,46785,46785,0.235064707104351,0.23334405743846176,0.22197212654767662,0.22193879130598537,le5_panelsize20-fixed,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07832534957727039,0.007411733864171787,10.567749869688923,4.04361328355845e-18,fe0215_god2,~minmax_year,12,46785,46785,0.235064707104351,0.23334405743846176,0.22197212654767662,0.22193879130598537,le5_panelsize20-fixed,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.03538202935982529,0.001922071199558688,18.40828236120966,2.3964040250059474e-34,fe0215_god2,~minmax_year,12,46785,46785,0.23984679450764312,0.2381369016955286,0.22683606383440102,0.22680293699208798,le5_panelsize20-fixed,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08533358430549773,0.010133682722578209,8.420787056552642,2.332955146532107e-13,fe0215_god2,~minmax_year,12,46785,46785,0.23984679450764312,0.2381369016955286,0.22683606383440102,0.22680293699208798,le5_panelsize20-fixed,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.035111579719410764,0.001788379041037446,19.63318676506206,1.3524593537928894e-36,fe0215_god2,~minmax_year,12,46785,46785,0.23610567190295784,0.2343873637890268,0.22303090842912565,0.22299761855181166,le5_panelsize20-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08512134652231318,0.012339670828373462,6.898186159600607,4.3797125075453443e-10,fe0215_god2,~minmax_year,12,46785,46785,0.23610567190295784,0.2343873637890268,0.22303090842912565,0.22299761855181166,le5_panelsize20-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.03848040068597733,0.0012393261183055425,31.049455117261076,4.2196746557352396e-54,fe0215_god2,~minmax_year,12,46785,46785,0.1625306711617095,0.16064686303539955,0.1481966029687608,0.14816010675431623,le5_panelsize20-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.013816475646991684,0.00359502207928844,3.8432241422356905,2.103041309837578e-4,fe0215_god2,~minmax_year,12,46785,46785,0.1625306711617095,0.16064686303539955,0.1481966029687608,0.14816010675431623,le5_panelsize20-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.03877923301955868,0.0011621249447839265,33.36924587464981,4.9092919130193846e-57,fe0215_god2,~minmax_year,12,46785,46785,0.16192427428229672,0.16003910212350247,0.1475798270415165,0.147543304400802,le5_panelsize20-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.010243489541415884,0.005645431675034336,1.8144740971209403,0.07251556348867302,fe0215_god2,~minmax_year,12,46785,46785,0.16192427428229672,0.16003910212350247,0.1475798270415165,0.147543304400802,le5_panelsize20-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.03284065574902158,0.001635882680317327,20.07519007576459,2.1858343956387285e-37,fe0215_god2,~minmax_year,12,46785,46785,0.02358252965263008,0.021407135117151865,0.0068702345000897225,0.006848959226621432,le5_panelsize20-fixed,fe0215_god2~before1994 | minmax_year
