variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.035641430437172404,0.0014306846100480065,24.91215057941838,1.1154216984170739e-44,fe0215_god2,~minmax_year,12,27428,27428,0.16432015762104224,0.1612313899975235,0.1455367720269064,0.1455055027877945,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.047585489889650334,0.00927448335205907,-5.1307968415389595,1.4191355268898905e-6,fe0215_god2,~minmax_year,12,27428,27428,0.24448937819849914,0.24166917386460152,0.22750793792663038,0.22745139687908622,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.0791819423075466,0.007421548617941394,10.669194043427323,3.3922621659388914e-18,fe0215_god2,~minmax_year,12,27428,27428,0.24448937819849914,0.24166917386460152,0.22750793792663038,0.22745139687908622,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.03180210606853329,0.0020347612273370974,15.629404394614333,1.3432571221371914e-28,fe0215_god2,~minmax_year,12,27428,27428,0.24816281194740208,0.24535631997370155,0.23126393860973593,0.23120767247532492,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08613474318078487,0.009571895987267268,8.998712825062356,1.5460570010297828e-14,fe0215_god2,~minmax_year,12,27428,27428,0.24816281194740208,0.24535631997370155,0.23126393860973593,0.23120767247532492,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.031796194310976765,0.0019453977042284511,16.344315736502427,5.332541070068165e-30,fe0215_god2,~minmax_year,12,27428,27428,0.2433349694085858,0.2405104558451704,0.2263275817531204,0.22627095431171163,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08510465705196127,0.011693623166402713,7.277868958226559,7.825374010723022e-11,fe0215_god2,~minmax_year,12,27428,27428,0.2433349694085858,0.2405104558451704,0.2263275817531204,0.22627095431171163,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.03528432381013527,0.0015094229199300844,23.37603553268531,2.571536722235834e-42,fe0215_god2,~minmax_year,12,27428,27428,0.16523090592928935,0.16211484197338033,0.14646799101756725,0.14640551840940752,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.014708446835751197,0.0045239672199242865,3.2512275444819334,0.001566591209696469,fe0215_god2,~minmax_year,12,27428,27428,0.16523090592928935,0.16211484197338033,0.14646799101756725,0.14640551840940752,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.035638304853384636,0.001435531783056067,24.825855668284238,1.5044172559843238e-44,fe0215_god2,~minmax_year,12,27428,27428,0.16433598759029755,0.16121658304260167,0.14555295780277722,0.14549041822054865,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.003191517965001686,0.008675260063364377,0.367887295791796,0.7137348094656544,fe0215_god2,~minmax_year,12,27428,27428,0.16433598759029755,0.16121658304260167,0.14555295780277722,0.14549041822054865,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
