variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.035641430437172404,0.0014306846100480065,24.91215057941838,1.1154216984170739e-44,fe0215_god2,~minmax_year,12,27428,27428,0.16432015762104224,0.1612313899975235,0.1455367720269064,0.1455055027877945,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215 | minmax_year
before1994,0.038129979175127886,0.002210613381061068,17.248596928706707,9.879395707248582e-32,fe0215_god2,~minmax_year,12,27428,27428,0.031387821701641894,0.027807721064587954,0.009616546251989821,0.009580302987196365,le5_panelsize40-fixed,fe0215_god2~before1994 | minmax_year
maxmfg,0.046482585704768126,0.0045705310562855405,10.170062325874317,4.197060679944059e-17,fe0215_god2,~minmax_year,12,27428,27428,0.03674005659420321,0.033179738425280436,0.015089082109920104,0.015053039113583577,le5_panelsize40-fixed,fe0215_god2~maxmfg | minmax_year
ln_emp_mean_0215,0.03000885446756335,0.001860050564203999,16.1333541383621,1.3725107958200394e-29,fe0215_god2,~minmax_year,12,27428,27428,0.2470362780393056,0.24417025940724058,0.23011208385541637,0.22999937472155185,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08678810784260046,0.011782941081523621,7.365572588552579,5.113781796988845e-11,fe0215_god2,~minmax_year,12,27428,27428,0.2470362780393056,0.24417025940724058,0.23011208385541637,0.22999937472155185,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.007409108889484723,0.001865218488981692,3.97224718350808,1.3441072647513855e-4,fe0215_god2,~minmax_year,12,27428,27428,0.2470362780393056,0.24417025940724058,0.23011208385541637,0.22999937472155185,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.02250502333718811,0.0026300238958392045,8.556965346509548,1.4193533407605295e-13,fe0215_god2,~minmax_year,12,27428,27428,0.2470362780393056,0.24417025940724058,0.23011208385541637,0.22999937472155185,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.034377040314515675,0.0013433857287769863,25.58985076148785,1.0922140178880714e-45,fe0215_god2,~minmax_year,12,27428,27428,0.16630940595211008,0.16313611525266347,0.1475707322399058,0.14744593931559147,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
tfp_cd_mean_0215,0.013530911388217208,0.004466870641536533,3.029170189616861,0.0031206919434324585,fe0215_god2,~minmax_year,12,27428,27428,0.16630940595211008,0.16313611525266347,0.1475707322399058,0.14744593931559147,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,0.004415132023749538,0.002145519113886749,2.0578385879542394,0.04220719611396362,fe0215_god2,~minmax_year,12,27428,27428,0.16630940595211008,0.16313611525266347,0.1475707322399058,0.14744593931559147,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.011968786848008992,0.002600694033381291,4.602151077513636,1.2299373894153985e-5,fe0215_god2,~minmax_year,12,27428,27428,0.16630940595211008,0.16313611525266347,0.1475707322399058,0.14744593931559147,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.03466229763425068,0.0012781711853645122,27.118666131067254,6.802446601201479e-48,fe0215_god2,~minmax_year,12,27428,27428,0.16556499907943012,0.1623888749314324,0.14680959350339529,0.14668468915079902,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
tfp_tl_mean_0215,0.0035420797143267966,0.008423463915836055,0.4205015596573888,0.6750213411434528,fe0215_god2,~minmax_year,12,27428,27428,0.16556499907943012,0.1623888749314324,0.14680959350339529,0.14668468915079902,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
before1994,0.004060095181440155,0.002252788439144185,1.8022532035820242,0.07451823871451486,fe0215_god2,~minmax_year,12,27428,27428,0.16556499907943012,0.1623888749314324,0.14680959350339529,0.14668468915079902,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.012984095586235526,0.0023849973857950416,5.444071202580067,3.726835307738313e-7,fe0215_god2,~minmax_year,12,27428,27428,0.16556499907943012,0.1623888749314324,0.14680959350339529,0.14668468915079902,le5_panelsize40-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.034307849630409525,0.0012098122586428452,28.357994709770683,1.297573292730632e-49,fe0215_mlo_le,~minmax_year,12,27428,27428,0.1503514852164215,0.14721108779297343,0.13358694093761214,0.13355523439223183,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04730664802933143,0.008998510215602959,-5.257164452322798,8.315286853325527e-7,fe0215_mlo_le,~minmax_year,12,27428,27428,0.22692823375011284,0.22404247637929897,0.21167463696215771,0.21161693702707718,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07764788628217784,0.007391131606147316,10.505547786159958,7.732392194253229e-18,fe0215_mlo_le,~minmax_year,12,27428,27428,0.22692823375011284,0.22404247637929897,0.21167463696215771,0.21161693702707718,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.030518536712154758,0.001793673679774218,17.014542308496345,2.746320357368455e-31,fe0215_mlo_le,~minmax_year,12,27428,27428,0.23147721848067426,0.2286084417664942,0.21631337840342046,0.2162560179919586,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08501274279182552,0.009434480931764725,9.010855330217288,1.4544292448956797e-14,fe0215_mlo_le,~minmax_year,12,27428,27428,0.23147721848067426,0.2286084417664942,0.21631337840342046,0.2162560179919586,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.03049080696142143,0.0017084586588036932,17.846967969814312,7.46972929160162e-33,fe0215_mlo_le,~minmax_year,12,27428,27428,0.22769052896831354,0.22480761712768293,0.21245197314343534,0.21239433010395814,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08448066559135581,0.011573609185186759,7.299422698624031,7.04942463598281e-11,fe0215_mlo_le,~minmax_year,12,27428,27428,0.22769052896831354,0.22480761712768293,0.21245197314343534,0.21239433010395814,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.033928537483486176,0.0012921589155152355,26.257248296706223,1.1577339617724296e-46,fe0215_mlo_le,~minmax_year,12,27428,27428,0.15137213874463307,0.14820434215367073,0.1346277331360729,0.1345643939033655,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.015623044000795193,0.004794555487613887,3.258496859855998,0.0015307909533103941,fe0215_mlo_le,~minmax_year,12,27428,27428,0.15137213874463307,0.14820434215367073,0.1346277331360729,0.1345643939033655,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.034300319107140126,0.0012125622301243015,28.287471154056934,1.6195782465841552e-49,fe0215_mlo_le,~minmax_year,12,27428,27428,0.15044275990846467,0.14727149409000773,0.13368001658450857,0.13361660798553943,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.007689379627017564,0.010069713456049931,0.7636145418217187,0.4468948562058275,fe0215_mlo_le,~minmax_year,12,27428,27428,0.15044275990846467,0.14727149409000773,0.13368001658450857,0.13361660798553943,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.0368479757969004,0.0017324851707140607,21.2688549488208,6.792206704799647e-39,fe0215_mlo_le,~minmax_year,12,27428,27428,0.028073898120575147,0.02448154884553222,0.008896676143274829,0.008860406534702103,le5_panelsize40-fixed,fe0215_mlo_le~before1994 | minmax_year
maxmfg,0.04128991489361459,0.003643933659021153,11.33113792875857,1.2256530080796325e-19,fe0215_mlo_le,~minmax_year,12,27428,27428,0.030915790140623067,0.027333944821300915,0.011794641967697972,0.011758478410718087,le5_panelsize40-fixed,fe0215_mlo_le~maxmfg | minmax_year
ln_emp_mean_0215,0.028953405944320127,0.0017038276243238058,16.99315443122411,3.0163135390556113e-31,fe0215_mlo_le,~minmax_year,12,27428,27428,0.2302597808626109,0.22732990556376786,0.2150719193382531,0.21495700837230336,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08588611437638075,0.011707173505466306,7.336195567297167,5.897880447610689e-11,fe0215_mlo_le,~minmax_year,12,27428,27428,0.2302597808626109,0.22732990556376786,0.2150719193382531,0.21495700837230336,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.007604836963275029,0.001840125869385582,4.132780854721794,7.457765301687263e-5,fe0215_mlo_le,~minmax_year,12,27428,27428,0.2302597808626109,0.22732990556376786,0.2150719193382531,0.21495700837230336,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.018241687008891647,0.0022935037519576556,7.953632948418408,2.858971499094344e-12,fe0215_mlo_le,~minmax_year,12,27428,27428,0.2302597808626109,0.22732990556376786,0.2150719193382531,0.21495700837230336,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.033243333610832766,0.0012082461506513298,27.51370951433387,1.8970911097411403e-48,fe0215_mlo_le,~minmax_year,12,27428,27428,0.1519114269259889,0.14868333295388858,0.13517766209468918,0.13505105486445745,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
tfp_cd_mean_0215,0.014923292536959794,0.004752720567786924,3.139947388892829,0.0022219958431294513,fe0215_mlo_le,~minmax_year,12,27428,27428,0.1519114269259889,0.14868333295388858,0.13517766209468918,0.13505105486445745,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,0.004682158997940455,0.0019715589738841543,2.374851100049098,0.019463623460158237,fe0215_mlo_le,~minmax_year,12,27428,27428,0.1519114269259889,0.14868333295388858,0.13517766209468918,0.13505105486445745,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.00770250039836954,0.002135972053592929,3.606086692666754,4.869909076246327e-4,fe0215_mlo_le,~minmax_year,12,27428,27428,0.1519114269259889,0.14868333295388858,0.13517766209468918,0.13505105486445745,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.03355252437421754,0.0011368096807972457,29.514636390751985,3.63462075414237e-51,fe0215_mlo_le,~minmax_year,12,27428,27428,0.15108550206746474,0.14785426436351634,0.1343354407869618,0.13420871025821857,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
tfp_tl_mean_0215,0.007930056317537038,0.009923683793605977,0.7991040910278225,0.4261240023976359,fe0215_mlo_le,~minmax_year,12,27428,27428,0.15108550206746474,0.14785426436351634,0.1343354407869618,0.13420871025821857,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
before1994,0.004290164531420585,0.002044810960563553,2.0980739120442746,0.03841899761073363,fe0215_mlo_le,~minmax_year,12,27428,27428,0.15108550206746474,0.14785426436351634,0.1343354407869618,0.13420871025821857,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.008848129253256516,0.002029078807568037,4.360663183832415,3.1539720812412624e-5,fe0215_mlo_le,~minmax_year,12,27428,27428,0.15108550206746474,0.14785426436351634,0.1343354407869618,0.13420871025821857,le5_panelsize40-fixed,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.035000724718379506,0.0013141554141542756,26.633626693920533,3.327159037316425e-47,fe0215_mlo,~minmax_year,12,27428,27428,0.15996637133810454,0.1568615116259311,0.1413349238731747,0.1413035008666561,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04768365681145109,0.009102563818583482,-5.238486404687631,9.002679080433994e-7,fe0215_mlo,~minmax_year,12,27428,27428,0.2396714930562508,0.23683330430206007,0.22280785789943414,0.22275097283871315,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.078665771871895,0.007367875998032523,10.676858825108004,3.2639248135558494e-18,fe0215_mlo,~minmax_year,12,27428,27428,0.2396714930562508,0.23683330430206007,0.22280785789943414,0.22275097283871315,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.0311774291482222,0.0019122444989165285,16.30410188963139,6.382806432668332e-30,fe0215_mlo,~minmax_year,12,27428,27428,0.24371744977144294,0.24089436394808283,0.22694355153397372,0.22688696917726991,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08577513917024475,0.00943167978673337,9.094365066432422,9.552949862822112e-15,fe0215_mlo,~minmax_year,12,27428,27428,0.24371744977144294,0.24089436394808283,0.22694355153397372,0.22688696917726991,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.031160747202751755,0.0018239692049908198,17.084031417574614,2.025858718856276e-31,fe0215_mlo,~minmax_year,12,27428,27428,0.23934052319362953,0.2365010989801163,0.22246954732163504,0.22241263749893214,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08498827089666086,0.011576007443696747,7.341760214825866,5.740710103461836e-11,fe0215_mlo,~minmax_year,12,27428,27428,0.23934052319362953,0.2365010989801163,0.22246954732163504,0.22241263749893214,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.034620842022343626,0.0013842156372137478,25.011162344640923,7.920718308019387e-45,fe0215_mlo,~minmax_year,12,27428,27428,0.16100452306202828,0.15787268267236043,0.14239610118636647,0.1423333305441843,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.015646543680312604,0.004253827219964243,3.6782273635561826,3.803143373889578e-4,fe0215_mlo,~minmax_year,12,27428,27428,0.16100452306202828,0.15787268267236043,0.14239610118636647,0.1423333305441843,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.03499556801483143,0.0013172147353296094,26.567853422983777,4.1332435822021486e-47,fe0215_mlo,~minmax_year,12,27428,27428,0.16000977449944287,0.15687422086719927,0.14137928969087898,0.14131644462516568,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.005265484188356729,0.008443829668197613,0.6235895790494644,0.5343169762457516,fe0215_mlo,~minmax_year,12,27428,27428,0.16000977449944287,0.15687422086719927,0.14137928969087898,0.14131644462516568,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.03777896348348089,0.0020855781865577595,18.11438368840775,2.390574629530389e-33,fe0215_mlo,~minmax_year,12,27428,27428,0.03099834545588498,0.02741680527038559,0.009506463697737777,0.009470216404453002,le5_panelsize40-fixed,fe0215_mlo~before1994 | minmax_year
maxmfg,0.04420872360427818,0.0041720080976955015,10.596509539062932,4.89067520743282e-18,fe0215_mlo,~minmax_year,12,27428,27428,0.03514449230491712,0.0315782767491386,0.013744569623839964,0.013708477424821619,le5_panelsize40-fixed,fe0215_mlo~maxmfg | minmax_year
ln_emp_mean_0215,0.029463598941915338,0.001766151425322189,16.682374183482292,1.1860123766963113e-30,fe0215_mlo,~minmax_year,12,27428,27428,0.24259542895990271,0.23971250704839342,0.22579664496656449,0.22568330406621928,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08656113809452182,0.011680226780828543,7.410912452196546,4.102009716291416e-11,fe0215_mlo,~minmax_year,12,27428,27428,0.24259542895990271,0.23971250704839342,0.22579664496656449,0.22568330406621928,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.007776629169077347,0.0018639887592323068,4.172036516078665,6.4431514857670407e-05,fe0215_mlo,~minmax_year,12,27428,27428,0.24259542895990271,0.23971250704839342,0.22579664496656449,0.22568330406621928,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.02069753472630946,0.002448497179433589,8.453158492548242,2.3851760459353706e-13,fe0215_mlo,~minmax_year,12,27428,27428,0.24259542895990271,0.23971250704839342,0.22579664496656449,0.22568330406621928,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.0337948164781682,0.001246073344857582,27.121049188345108,6.749960578249278e-48,fe0215_mlo,~minmax_year,12,27428,27428,0.16184509508414768,0.1586548118022515,0.14325531659719826,0.1431298919098063,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
tfp_cd_mean_0215,0.014687270455051533,0.0042065659873956685,3.491510771270365,7.164321606926586e-4,fe0215_mlo,~minmax_year,12,27428,27428,0.16184509508414768,0.1586548118022515,0.14325531659719826,0.1431298919098063,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,0.0048217195442905,0.002118685780057431,2.2758068183946554,0.02499040352460442,fe0215_mlo,~minmax_year,12,27428,27428,0.16184509508414768,0.1586548118022515,0.14325531659719826,0.1431298919098063,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.010101432347369314,0.002360417956593702,4.279510041495618,4.2988225882862764e-5,fe0215_mlo,~minmax_year,12,27428,27428,0.16184509508414768,0.1586548118022515,0.14325531659719826,0.1431298919098063,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.03410212863424619,0.001186158700075838,28.750055647752568,3.813547600938306e-50,fe0215_mlo,~minmax_year,12,27428,27428,0.1609870246949512,0.15779347532512633,0.14237821471588985,0.14225266162358163,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
tfp_tl_mean_0215,0.005569358296402934,0.008245098957279852,0.6754750094885855,0.5009330234719944,fe0215_mlo,~minmax_year,12,27428,27428,0.1609870246949512,0.15779347532512633,0.14237821471588985,0.14225266162358163,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
before1994,0.004436159745954213,0.002214529791088607,2.0032061721660144,0.047861180177136205,fe0215_mlo,~minmax_year,12,27428,27428,0.1609870246949512,0.15779347532512633,0.14237821471588985,0.14225266162358163,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.011214586083659488,0.0021914675156682697,5.117386410466455,1.5013727065520317e-6,fe0215_mlo,~minmax_year,12,27428,27428,0.1609870246949512,0.15779347532512633,0.14237821471588985,0.14225266162358163,le5_panelsize40-fixed,fe0215_mlo~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.03453947183923315,0.0012479131373086838,27.67778526133864,1.1208536947456691e-48,fe0215_le,~minmax_year,12,27428,27428,0.15215537926805467,0.1490216492419284,0.13540886640092598,0.13537722652924333,le5_panelsize40-fixed,fe0215_le~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04758865778745541,0.009011151128656284,-5.281085302866482,7.509477762661533e-7,fe0215_le,~minmax_year,12,27428,27428,0.2297043522314811,0.22682895768171396,0.21448957624373877,0.21443208234264044,le5_panelsize40-fixed,fe0215_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07813655481171672,0.007364683556831284,10.609628262878903,4.578114942010033e-18,fe0215_le,~minmax_year,12,27428,27428,0.2297043522314811,0.22682895768171396,0.21448957624373877,0.21443208234264044,le5_panelsize40-fixed,fe0215_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.030729892781683702,0.0018373619463384636,16.725007744349405,9.822085548517264e-31,fe0215_le,~minmax_year,12,27428,27428,0.23415683512830887,0.23129806100875128,0.21903000398364203,0.21897284241028303,le5_panelsize40-fixed,fe0215_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08546741099273931,0.009500975016763568,8.995646324923515,1.570094264617558e-14,fe0215_le,~minmax_year,12,27428,27428,0.23415683512830887,0.23129806100875128,0.21903000398364203,0.21897284241028303,le5_panelsize40-fixed,fe0215_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.03070613580171781,0.0017503243119870381,17.54311220579401,2.7561616349662884e-32,fe0215_le,~minmax_year,12,27428,27428,0.23016145670739652,0.22728776845796028,0.21495570938575692,0.21489824960236337,le5_panelsize40-fixed,fe0215_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08484127843676376,0.011619621865088652,7.301552444806384,6.97702815459137e-11,fe0215_le,~minmax_year,12,27428,27428,0.23016145670739652,0.22728776845796028,0.21495570938575692,0.21489824960236337,le5_panelsize40-fixed,fe0215_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.03417753534367021,0.0013353833153385254,25.593801383542118,1.077662786793566e-45,fe0215_le,~minmax_year,12,27428,27428,0.1530847296492791,0.1499233258953624,0.1363565731858316,0.13629336049219476,le5_panelsize40-fixed,fe0215_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.014907378636667093,0.004958773740185104,3.006263124259955,0.0033442607250887147,fe0215_le,~minmax_year,12,27428,27428,0.1530847296492791,0.1499233258953624,0.1363565731858316,0.13629336049219476,le5_panelsize40-fixed,fe0215_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
