variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.03180573771762014,0.0012194012197714404,26.0830784830457,1.143694439594842e-46,fe0215_god2,~minmax_year,12,28742,28742,0.14321071497822202,0.14015919407762423,0.12084257780222696,0.12081187989300535,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04796817636213374,0.009302237905017819,-5.156627561230048,1.2555165494075904e-6,fe0215_god2,~minmax_year,12,28742,28742,0.24114462592354768,0.2384153116023705,0.22133324242375096,0.22127886245604544,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.0766313228374787,0.0074726586007993765,10.254894132227742,2.4633187759151653e-17,fe0215_god2,~minmax_year,12,28742,28742,0.24114462592354768,0.2384153116023705,0.22133324242375096,0.22127886245604544,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.028665040397158992,0.0020979343208240614,13.663459390806603,1.0786312624925554e-24,fe0215_god2,~minmax_year,12,28742,28742,0.24538921865950558,0.2426751705249267,0.22568864844161363,0.22563457264361397,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08312462150719716,0.01049699344526094,7.918898105507085,3.2218044660876217e-12,fe0215_god2,~minmax_year,12,28742,28742,0.24538921865950558,0.2426751705249267,0.22568864844161363,0.22563457264361397,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.028910429640435137,0.001969407906280163,14.679757072287497,8.509404820045214e-27,fe0215_god2,~minmax_year,12,28742,28742,0.235706323713057,0.2329574498860595,0.21575296284265666,0.21569819316340832,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08102897890438301,0.01290488545550374,6.278938250461214,8.64179255436777e-9,fe0215_god2,~minmax_year,12,28742,28742,0.235706323713057,0.2329574498860595,0.21575296284265666,0.21569819316340832,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.0315301207792586,0.0013086569772300094,24.093495337485116,1.1511218893216836e-43,fe0215_god2,~minmax_year,12,28742,28742,0.14421510460180464,0.14113717163770056,0.12187318895456956,0.12181186296734658,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.013038449504470863,0.005169245508130714,2.5223119087616688,0.013220167504354544,fe0215_god2,~minmax_year,12,28742,28742,0.14421510460180464,0.14113717163770056,0.12187318895456956,0.12181186296734658,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.0318070566263098,0.001204961079529952,26.39675020766442,3.9846279602704793e-47,fe0215_god2,~minmax_year,12,28742,28742,0.14321128645495718,0.14012974313855453,0.12084316419846486,0.12078176627711557,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,5.005653094676508e-4,0.00666346881227379,0.07512083024169537,0.940267165028652,fe0215_god2,~minmax_year,12,28742,28742,0.14321128645495718,0.14012974313855453,0.12084316419846486,0.12078176627711557,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.019021670906965552,0.0025591009507279017,7.432950584288242,3.528136142663039e-11,fe0215_god2,~minmax_year,12,28742,28742,0.028491046865614322,0.025030943048452103,0.0031279314400228797,0.003093123239018669,le5_panelsize10-fixed,fe0215_god2~before1994 | minmax_year
maxmfg,0.02982179375309143,0.0039734407280896085,7.50528214559009,2.4764483250110485e-11,fe0215_god2,~minmax_year,12,28742,28742,0.03412347384199821,0.030683430346481022,0.008907403788523394,0.00887279739178437,le5_panelsize10-fixed,fe0215_god2~maxmfg | minmax_year
ln_emp_mean_0215,0.02771250455966717,0.0017833263947232348,15.539782645323342,1.5548001840698154e-28,fe0215_god2,~minmax_year,12,28742,28742,0.23977860367060533,0.2369910898203963,0.21993155752460902,0.21982259419977657,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08282486876204108,0.01272792204118061,6.507336271707589,2.9839843975810816e-9,fe0215_god2,~minmax_year,12,28742,28742,0.23977860367060533,0.2369910898203963,0.21993155752460902,0.21982259419977657,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.0010448401878844845,0.0019945618323383026,0.5238444709731448,0.6015343376899642,fe0215_god2,~minmax_year,12,28742,28742,0.23977860367060533,0.2369910898203963,0.21993155752460902,0.21982259419977657,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.020793664726761123,0.002539772100215428,8.187216768385387,8.477125072488921e-13,fe0215_god2,~minmax_year,12,28742,28742,0.23977860367060533,0.2369910898203963,0.21993155752460902,0.21982259419977657,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.031201805634460043,0.001079680718977093,28.899104231500157,1.2248363385819516e-50,fe0215_god2,~minmax_year,12,28742,28742,0.14517812777424277,0.14204374110767948,0.1228613537047577,0.12273883119514806,le5_panelsize10-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
