var_name,mean,sd,min,p75,max,n_obs,n_nonmiss,n_individuals_treated,n_individuals_control,n_firms,sample
wage_agreement_ind,0.46470455358319374,0.498755022820537,0,1,1,106246,106246,9681,8674,14343,le5_panelsize0
wage_agreement_num,1.6517045347589554,3.1617393713148623,0,2,52,106246,106246,9681,8674,14343,le5_panelsize0
wage_agreement_fail,0.19656269412495528,0.39740066410831276,0,0,1,106246,106246,9681,8674,14343,le5_panelsize0
wage_agreement_share,0.40549114454259444,0.4577413454222969,0,1,1,106246,106246,9681,8674,14343,le5_panelsize0
extwage_agreement_ind,0.642057112738362,0.47939747582970976,0,1,1,106246,106246,9681,8674,14343,le5_panelsize0
hours_agreement_ind,0.4000621199856936,0.48991293020799015,0,1,1,106246,106246,9681,8674,14343,le5_panelsize0
wage_agreement_ind_,0.2464521925774328,0.43094597848295685,0,0,1,200335,200335,14028,14234,36694,le5_panelsize0
wage_agreement_num_,0.8759677540120303,2.4456311612936887,0,0,52,200335,200335,14028,14234,36694,le5_panelsize0
wage_agreement_fail_,0.10424538897346941,0.3055793742454977,0,0,1,200335,200335,14028,14234,36694,le5_panelsize0
wage_agreement_share_,0.2150488538851049,0.38996805528136447,0,0,1,200335,200335,14028,14234,36694,le5_panelsize0
extwage_agreement_ind_,0.34050964634237657,0.47388178698102357,0,1,1,200335,200335,14028,14234,36694,le5_panelsize0
hours_agreement_ind_,0.21216961589337854,0.4088453306080165,0,0,1,200335,200335,14028,14234,36694,le5_panelsize0
shinscrit_sup10cgt_siren,0.5014053853727146,0.3998516524351623,0,0.8838402628898621,1,119424,106943,11688,9980,12535,le5_panelsize0
participation_siren,0.5945316138176449,0.2714669962416176,0,0.7946304678916931,1.97826087474823,119424,100784,11688,9980,12535,le5_panelsize0
bnuls_siren,0.09906187645644789,0.09823556445477095,0,0.125,1,119424,94873,11688,9980,12535,le5_panelsize0
cgt_siren,0.3253522782110818,0.3720523526569811,0,0.4308851659297943,5,119424,95214,11688,9980,12535,le5_panelsize0
shinscrit_carence_siren,0.22927055077711261,0.3991437108034425,0,0.17351597547531128,1,119424,119424,11688,9980,12535,le5_panelsize0
wage_agreement_ind,0.49495682616259834,0.4999772339823152,0,1,1,93691,93691,7571,7188,11754,le5_panelsize10
wage_agreement_num,1.7825724989593452,3.2885103292320537,0,3,52,93691,93691,7571,7188,11754,le5_panelsize10
wage_agreement_fail,0.20541994428493665,0.4040103129016117,0,0,1,93691,93691,7571,7188,11754,le5_panelsize10
wage_agreement_share,0.4331534178957859,0.4611673382510286,0,1,1,93691,93691,7571,7188,11754,le5_panelsize10
extwage_agreement_ind,0.6770340801144187,0.4676123055840993,0,1,1,93691,93691,7571,7188,11754,le5_panelsize10
hours_agreement_ind,0.42443777950923783,0.4942600107908838,0,1,1,93691,93691,7571,7188,11754,le5_panelsize10
wage_agreement_ind_,0.34793928525874296,0.4763184242923745,0,1,1,133279,133279,9172,9255,21875,le5_panelsize10
wage_agreement_num_,1.253093135452697,2.8749930757331943,0,2,52,133279,133279,9172,9255,21875,le5_panelsize10
wage_agreement_fail_,0.14440384456666092,0.35150007291755797,0,0,1,133279,133279,9172,9255,21875,le5_panelsize10
wage_agreement_share_,0.3044934076341665,0.43437321405692175,0,0.8571428656578064,1,133279,133279,9172,9255,21875,le5_panelsize10
extwage_agreement_ind_,0.4759339430818058,0.4994223626723593,0,1,1,133279,133279,9172,9255,21875,le5_panelsize10
hours_agreement_ind_,0.2983665843831361,0.45754293398354823,0,1,1,133279,133279,9172,9255,21875,le5_panelsize10
shinscrit_sup10cgt_siren,0.5004129053654813,0.39849517963887204,0,0.879807710647583,1,110532,99208,9318,8929,11133,le5_panelsize10
participation_siren,0.6059481902295792,0.2653361088354879,0,0.8000712990760803,1.97826087474823,110532,93818,9318,8929,11133,le5_panelsize10
bnuls_siren,0.09906549789588467,0.0962957797392767,0,0.12662337720394135,1,110532,88671,9318,8929,11133,le5_panelsize10
cgt_siren,0.32086934156758967,0.3546045074795659,0,0.4308851659297943,5,110532,88948,9318,8929,11133,le5_panelsize10
shinscrit_carence_siren,0.2217935806429551,0.39365364661140334,0,0.1566091924905777,1,110532,110532,9318,8929,11133,le5_panelsize10
wage_agreement_ind,0.5096088861325128,0.49990964819674544,0,1,1,125769,125769,9770,10899,14730,le5_panelsize20
wage_agreement_num,1.989186524501268,3.819363366449586,0,3,52,125769,125769,9770,10899,14730,le5_panelsize20
wage_agreement_fail,0.21054472882824862,0.4076971518126086,0,0,1,125769,125769,9770,10899,14730,le5_panelsize20
wage_agreement_share,0.4480030964524612,0.46260605505871594,0,1,1,125769,125769,9770,10899,14730,le5_panelsize20
extwage_agreement_ind,0.6846520207682338,0.4646561609491098,0,1,1,125769,125769,9770,10899,14730,le5_panelsize20
hours_agreement_ind,0.43948826817419234,0.49632679656049206,0,1,1,125769,125769,9770,10899,14730,le5_panelsize20
wage_agreement_ind_,0.31377377426382397,0.46402677398300834,0,1,1,204265,204265,14281,14539,35117,le5_panelsize20
wage_agreement_num_,1.2247717425892835,3.1492815161219334,0,1,52,204265,204265,14281,14539,35117,le5_panelsize20
wage_agreement_fail_,0.12963552248304896,0.33590282250637316,0,0,1,204265,204265,14281,14539,35117,le5_panelsize20
wage_agreement_share_,0.27584217285256696,0.42338486432754746,0,0.6666666865348816,1,204265,204265,14281,14539,35117,le5_panelsize20
extwage_agreement_ind_,0.42155043693241623,0.49380852547471216,0,1,1,204265,204265,14281,14539,35117,le5_panelsize20
hours_agreement_ind_,0.2705994663794581,0.44427059485248727,0,1,1,204265,204265,14281,14539,35117,le5_panelsize20
shinscrit_sup10cgt_siren,0.5080725604187163,0.3877226721948469,0,0.8652052879333496,1,151080,137119,11784,13653,13312,le5_panelsize20
participation_siren,0.6011258417022645,0.2595327430104553,0,0.7894737124443054,1.97826087474823,151080,130248,11784,13653,13312,le5_panelsize20
bnuls_siren,0.09619576529462352,0.09424588455541415,0,0.12137486785650253,1,151080,123736,11784,13653,13312,le5_panelsize20
cgt_siren,0.3102987505097139,0.34335066151450705,0,0.4157303273677826,5,151080,124157,11784,13653,13312,le5_panelsize20
shinscrit_carence_siren,0.20557323157982907,0.3803348390690075,0,0.12054794281721115,1,151080,151080,11784,13653,13312,le5_panelsize20
wage_agreement_ind,0.4949294945548926,0.49997763383564753,0,1,1,74746,74746,6386,5793,10008,le5_panelsize40
wage_agreement_num,1.8041901907794398,3.236585394746976,0,3,52,74746,74746,6386,5793,10008,le5_panelsize40
wage_agreement_fail,0.20104085837369223,0.4007812128708802,0,0,1,74746,74746,6386,5793,10008,le5_panelsize40
wage_agreement_share,0.4349718125153225,0.46218921107949923,0,1,1,74746,74746,6386,5793,10008,le5_panelsize40
extwage_agreement_ind,0.673761806651861,0.46883875192377916,0,1,1,74746,74746,6386,5793,10008,le5_panelsize40
hours_agreement_ind,0.43200973965162015,0.49535906911768707,0,1,1,74746,74746,6386,5793,10008,le5_panelsize40
wage_agreement_ind_,0.30089877587539143,0.4586506443519227,0,1,1,122945,122945,8491,8473,21773,le5_panelsize40
wage_agreement_num_,1.0968807190207002,2.672922255925628,0,1,52,122945,122945,8491,8473,21773,le5_panelsize40
wage_agreement_fail_,0.12222538533490586,0.3275472685867063,0,0,1,122945,122945,8491,8473,21773,le5_panelsize40
wage_agreement_share_,0.26444672901110494,0.4182903705901086,0,0.6666666865348816,1,122945,122945,8491,8473,21773,le5_panelsize40
extwage_agreement_ind_,0.4096221887836024,0.49176601981826,0,1,1,122945,122945,8491,8473,21773,le5_panelsize40
hours_agreement_ind_,0.26264589857253245,0.4400734094999525,0,1,1,122945,122945,8491,8473,21773,le5_panelsize40
shinscrit_sup10cgt_siren,0.5076099379447837,0.3948201213780269,0,0.8815789222717285,1,82860,74793,7570,6689,9137,le5_panelsize40
participation_siren,0.6198223256372278,0.2618605141698282,0,0.8086956739425659,1.97826087474823,82860,70660,7570,6689,9137,le5_panelsize40
bnuls_siren,0.09696422736057098,0.09231586847566296,0,0.12160837464034557,1,82860,67106,7570,6689,9137,le5_panelsize40
cgt_siren,0.32113141838505016,0.3494904242244071,0,0.4308851659297943,4,82860,67315,7570,6689,9137,le5_panelsize40
shinscrit_carence_siren,0.21339012417601022,0.3885265232363202,0,0.12305296212434769,1,82860,82860,7570,6689,9137,le5_panelsize40
wage_agreement_ind,0.4514004672322636,0.49763370400615636,0,1,1,203325,203325,9613,9537,13104,panelpanSIZE1
wage_agreement_num,1.5121406615025204,2.9248666434467454,0,2,52,203325,203325,9613,9537,13104,panelpanSIZE1
wage_agreement_fail,0.1663396040821345,0.37238611979299924,0,0,1,203325,203325,9613,9537,13104,panelpanSIZE1
wage_agreement_share,0.401372165752706,0.4619494343293553,0,1,1,203325,203325,9613,9537,13104,panelpanSIZE1
extwage_agreement_ind,0.6471511127505225,0.4778573773456403,0,1,1,203325,203325,9613,9537,13104,panelpanSIZE1
hours_agreement_ind,0.3777744989548752,0.4848320152224687,0,1,1,203325,203325,9613,9537,13104,panelpanSIZE1
wage_agreement_ind_,0.38223290215643974,0.48593404291620934,0,1,1,240118,240118,10467,10446,19689,panelpanSIZE1
wage_agreement_num_,1.2804371184167784,2.7460286980380344,0,2,52,240118,240118,10467,10446,19689,panelpanSIZE1
wage_agreement_fail_,0.14085158130585795,0.3478691094682016,0,0,1,240118,240118,10467,10446,19689,panelpanSIZE1
wage_agreement_share_,0.33987037873740805,0.4490002795721424,0,1,1,240118,240118,10467,10446,19689,panelpanSIZE1
extwage_agreement_ind_,0.547988905454818,0.49769277322607663,0,1,1,240118,240118,10467,10446,19689,panelpanSIZE1
hours_agreement_ind_,0.319888554793893,0.46643410398845303,0,1,1,240118,240118,10467,10446,19689,panelpanSIZE1
shinscrit_sup10cgt_siren,0.4861409086953103,0.4051478841189638,0,0.8828125,1,273458,247524,14008,14379,12818,panelpanSIZE1
participation_siren,0.6200813547870435,0.2545073049875729,0,0.805084764957428,1.97826087474823,273458,234980,14008,14379,12818,panelpanSIZE1
bnuls_siren,0.10244822604458656,0.09900951675360521,0,0.12962962687015533,1,273458,223374,14008,14379,12818,panelpanSIZE1
cgt_siren,0.32454197650233413,0.3808998019545077,0,0.44686469435691833,6,273458,223772,14008,14379,12818,panelpanSIZE1
shinscrit_carence_siren,0.21172001791480646,0.38456123981043105,0,0.13598409667611122,1,273458,273458,14008,14379,12818,panelpanSIZE1
wage_agreement_ind,0.44878821546852654,0.49737176055002613,0,1,1,188111,188111,9612,9681,14834,panelpanSIZE2
wage_agreement_num,1.5273588466384207,2.97224678617501,0,2,52,188111,188111,9612,9681,14834,panelpanSIZE2
wage_agreement_fail,0.17410465097734848,0.3792004560788238,0,0,1,188111,188111,9612,9681,14834,panelpanSIZE2
wage_agreement_share,0.39836165164900356,0.4605601333934929,0,1,1,188111,188111,9612,9681,14834,panelpanSIZE2
extwage_agreement_ind,0.6290169102285352,0.48306922629920557,0,1,1,188111,188111,9612,9681,14834,panelpanSIZE2
hours_agreement_ind,0.3798076667499508,0.48534014385891505,0,1,1,188111,188111,9612,9681,14834,panelpanSIZE2
wage_agreement_ind_,0.37498556415290446,0.4841202659103327,0,1,1,225134,225134,10464,10451,22493,panelpanSIZE2
wage_agreement_num_,1.2761866266312505,2.7752490376999543,0,2,52,225134,225134,10464,10451,22493,panelpanSIZE2
wage_agreement_fail_,0.14547336253075946,0.35257824024050066,0,0,1,225134,225134,10464,10451,22493,panelpanSIZE2
wage_agreement_share_,0.3328515846266921,0.44613737943603926,0,1,1,225134,225134,10464,10451,22493,panelpanSIZE2
extwage_agreement_ind_,0.5255758792541331,0.4993465549591583,0,1,1,225134,225134,10464,10451,22493,panelpanSIZE2
hours_agreement_ind_,0.31734877894942565,0.4654454787811823,0,1,1,225134,225134,10464,10451,22493,panelpanSIZE2
shinscrit_sup10cgt_siren,0.4981015294536012,0.40333083034545797,0,0.8888888955116272,1,247467,225699,14006,14741,14116,panelpanSIZE2
participation_siren,0.6135902296725415,0.25736583109702876,0,0.8034287095069885,1.97826087474823,247467,214884,14006,14741,14116,panelpanSIZE2
bnuls_siren,0.10013865747789283,0.09509933655133082,0,0.12780268490314484,1,247467,204122,14006,14741,14116,panelpanSIZE2
