an,annai,tenure,n_individuals,n_eqtp
2005,1960,9,910,842.6252747252747
2011,1946,10,910,649.3434065934066
2015,1954,5,911,573.9697802197802
2016,1954,4,915,457.9856708233173
2004,1954,8,918,828.1258241758242
2019,1958,7,921,608.7318681318682
2003,1958,8,926,821.6653846153846
2004,1950,7,926,820.4401098901099
2004,1966,9,930,846.4170329670329
2003,1948,7,935,796.5593406593407
2015,1954,9,935,656.2681318681318
2018,1956,4,935,523.8483516483517
2009,1954,9,937,818.0208791208792
2011,1948,2,937,324.8285714285714
2009,1984,7,939,778.3054945054945
2003,1978,6,941,761.7021978021978
2005,1948,7,941,799.7631868131868
2005,1976,8,941,843.3120879120879
2011,1950,3,942,431.6461538461538
2009,1956,9,946,832.210989010989
2017,1990,10,946,871.8379120879121
2002,1948,7,947,822.7631868131868
2018,1954,3,947,405.4725274725275
2007,1954,8,948,851.9576923076924
2017,1952,2,948,327.3373626373626
2016,1990,8,949,795.2659705528846
2016,1956,8,950,716.8120782537775
2018,1950,1,954,117.04835164835166
2004,1952,7,956,855.8763736263736
2010,1952,8,956,772.0653846153846
2013,1952,8,958,629.2730769230769
2004,1946,5,961,691.7038461538461
2014,1948,10,961,626.0098901098901
2013,1952,7,962,601.2214285714285
2005,1966,9,964,887.5258241758241
2008,1956,9,968,873.8324175824176
2004,1958,8,971,880.8818681318681
2005,1962,9,975,891.3329670329671
2008,1952,8,975,842.156043956044
2004,1970,9,976,888.0851648351648
2006,1950,7,979,836.4565934065934
2019,1958,6,980,673.6296703296704
2003,1964,8,988,907.0923076923077
2019,1954,2,989,325.5412087912088
2003,1962,8,991,899.3027472527473
2005,1948,6,991,777.7032967032967
2006,1978,8,993,891.3093406593407
2001,1946,6,994,865.7697802197803
2005,1968,9,995,920.8521978021978
2007,1948,5,996,778.6505494505494
2002,1954,7,999,864.1368131868132
2009,1948,3,999,496.2521978021978
2002,1956,7,1000,886.4642857142857
2015,1988,9,1000,839.2175824175824
2018,1958,9,1003,754.9802197802197
2007,1954,9,1008,937.5247252747253
2011,1954,9,1008,882.4983516483517
2005,1958,8,1009,902.3456043956044
2015,1952,2,1010,356.79505494505497
2004,1946,4,1011,720.0604395604396
2003,1956,7,1012,880.2934065934066
2004,1956,7,1012,910.8571428571429
2005,1974,9,1016,899.9472527472527
2005,1960,8,1017,915.8406593406594
2003,1950,7,1020,899.9164835164835
2006,1962,9,1022,932.8450549450549
2002,1950,7,1023,883.7274725274725
2018,1992,8,1023,841.4796703296703
2006,1952,7,1024,892.9576923076924
2017,1956,5,1025,633.8263736263737
2002,1974,8,1027,900.1796703296703
2004,1954,7,1028,925.7258241758242
2006,1950,8,1029,923.1076923076923
2002,1946,6,1031,853.467032967033
2012,1984,9,1032,920.3406593406594
2005,1964,9,1035,950.1236263736264
2007,1952,9,1035,942.0472527472527
2003,1968,8,1036,915.1214285714286
2006,1976,10,1037,933.9769230769231
2007,1956,9,1037,948.854945054945
2003,1952,7,1038,917.2142857142857
2019,1994,7,1039,795.6670329670329
2002,1952,7,1040,917.3351648351648
2017,1950,1,1041,132.73021978021978
2008,1950,6,1047,819.9846153846154
2008,1956,8,1049,947.2741758241758
2003,1954,7,1050,943.9417582417583
2008,1954,8,1052,938.6714285714286
2019,1956,3,1053,458.4664835164835
2003,1966,8,1056,961.7736263736264
2005,1970,9,1056,962.7346153846154
2014,1954,6,1065,741.0384615384615
2007,1980,8,1067,938.184065934066
2013,1952,4,1067,542.9417582417583
2007,1956,8,1075,967.084065934066
2003,1948,6,1076,914.4104395604396
2006,1968,9,1077,988.560989010989
2011,1986,7,1079,837.0576923076923
2006,1954,8,1087,1007.2291208791208
2008,1958,9,1087,977.5423076923076
2004,1960,8,1089,986.7747252747253
2006,1954,7,1089,957.8675824175824
2009,1958,9,1089,993.321978021978
2017,1950,10,1090,641.1956043956044
2016,1954,3,1093,532.2331618088942
2016,1956,9,1093,856.2053056318681
2011,1956,9,1094,995.0554945054945
2007,1952,7,1096,962.1412087912088
2002,1946,5,1100,878.6379120879121
2019,1952,10,1100,670.7428571428571
2008,1960,9,1101,1004.0697802197802
2003,1952,6,1102,966.8005494505494
2002,1960,7,1103,960.2527472527472
2007,1960,9,1104,1021.3148351648351
2011,1946,1,1104,157.24725274725276
2017,1958,9,1104,916.7868131868132
2003,1950,6,1106,946.021978021978
2004,1972,9,1107,1019.906043956044
2014,1986,10,1107,1002.9461538461538
2003,1958,7,1109,1011.2164835164835
2015,1956,7,1109,853.3593406593407
2001,1948,6,1113,977.1395604395605
2002,1976,6,1115,912.2296703296703
2009,1960,9,1118,1013.2120879120879
2004,1976,7,1122,991.2247252747253
2010,1948,2,1122,420.967032967033
2006,1952,8,1124,1031.553846153846
2018,1960,9,1127,888.5313186813187
2013,1950,2,1129,417.6857142857143
2009,1952,7,1132,920.1219780219781
2004,1966,8,1133,1028.8324175824175
2018,1954,2,1133,392.50934065934064
2003,1946,5,1135,926.6093406593407
2002,1958,7,1136,1001.0181318681318
2005,1950,6,1136,973.4434065934066
2006,1956,8,1136,1042.9318681318682
2010,1954,8,1136,996.7428571428571
2006,1966,9,1137,1022.7082417582418
2006,1970,9,1138,1051.2021978021978
2005,1948,5,1139,874.0967032967033
2007,1976,9,1140,1027.4994505494506
2002,1948,6,1146,975.960989010989
2006,1950,6,1146,944.1368131868132
2004,1974,10,1151,1054.793956043956
2003,1970,8,1152,1031.462087912088
2004,1962,8,1154,1039.0868131868133
2006,1964,9,1154,1056.4373626373626
2016,1956,7,1154,824.6066486735921
2004,1958,7,1158,1027.443956043956
2000,1974,7,1163,993.1417582417582
2004,1974,8,1163,1048.4747252747252
2005,1950,7,1163,1033.8478021978021
2013,1948,1,1163,183.82857142857142
2019,1952,1,1163,161.47142857142856
2005,1962,8,1165,1043.3104395604396
2008,1946,10,1165,893.5016483516483
2012,1984,10,1168,1054.178021978022
2004,1968,8,1170,1066.2895604395605
2007,1956,7,1170,1052.6291208791208
2008,1962,9,1170,1074.4
2008,1946,2,1171,459.01263736263735
2009,1980,9,1179,1060.173076923077
2007,1958,9,1181,1104.2846153846153
2004,1960,7,1183,1055.54010989011
2001,1956,6,1184,1016.5439560439561
2003,1954,6,1184,1035.6027472527473
2017,1956,4,1184,690.7637362637363
2005,1946,3,1185,827.0076923076923
2013,1952,3,1186,583.4076923076923
2015,1990,7,1186,919.5027472527472
2018,1958,8,1186,864.1197802197802
2014,1952,3,1189,520.9263736263737
2017,1958,8,1190,936.4796703296703
2019,1958,5,1190,743.7934065934066
2018,1990,9,1192,1003.5494505494505
2004,1948,6,1193,1032.8873626373627
2014,1954,5,1195,759.2450549450549
2007,1954,7,1197,1064.3236263736264
2005,1978,7,1199,1038.2230769230769
2003,1956,6,1200,1053.9395604395604
2017,1960,9,1200,1006.3521978021978
2004,1964,8,1201,1086.7318681318682
2005,1952,6,1205,1034.0697802197801
2014,1954,7,1205,891.5131868131868
2005,1972,9,1206,1110.1142857142856
2007,1962,9,1206,1096.3747252747253
2012,1952,9,1206,950.7120879120879
2000,1946,5,1208,1045.0967032967033
2019,1960,9,1208,973.567032967033
2001,1954,6,1210,1040.7368131868132
2010,1956,8,1210,1081.6857142857143
2018,1952,1,1210,179.55934065934065
2007,1958,8,1211,1085.4571428571428
2002,1974,7,1212,1038.6412087912088
2006,1960,8,1213,1129.1835164835165
2008,1978,9,1215,1090.9725274725274
2014,1988,8,1218,990.810989010989
2007,1960,8,1219,1113.8445054945055
2008,1958,8,1219,1101.9873626373626
2009,1962,9,1219,1106.7230769230769
2005,1954,7,1220,1109.6648351648353
2011,1982,9,1221,1093.0467032967033
2002,1962,7,1227,1101.635164835165
2001,1952,6,1228,1090.2054945054945
2011,1958,9,1228,1105.6626373626373
2003,1946,4,1229,908.34010989010994
2009,1948,8,1232,912.2637362637363
2015,1950,1,1234,163.4565934065934
2004,1970,8,1235,1129.4071428571428
2016,1958,8,1238,1043.1937070741758
2016,1956,6,1239,910.9729229266827
2006,1956,7,1241,1094.2653846153846
