quantile,type_akm,n_ind,sample
1,fe0215_god2_q5_full,5009,le5_panelsize0
1,fe0215_le_q5_full,5088,le5_panelsize0
1,fe0215_mlo_le_q5_full,5123,le5_panelsize0
1,fe0215_mlo_q5_full,5019,le5_panelsize0
1,hhi_zecs1_ma3_dlga4_q4_full,46865,le5_panelsize0
2,fe0215_god2_q5_full,9275,le5_panelsize0
2,fe0215_le_q5_full,9200,le5_panelsize0
2,fe0215_mlo_le_q5_full,9191,le5_panelsize0
2,fe0215_mlo_q5_full,9245,le5_panelsize0
2,hhi_zecs1_ma3_dlga4_q4_full,12068,le5_panelsize0
3,fe0215_god2_q5_full,14826,le5_panelsize0
3,fe0215_le_q5_full,14965,le5_panelsize0
3,fe0215_mlo_le_q5_full,14964,le5_panelsize0
3,fe0215_mlo_q5_full,14900,le5_panelsize0
3,hhi_zecs1_ma3_dlga4_q4_full,5910,le5_panelsize0
4,fe0215_god2_q5_full,20095,le5_panelsize0
4,fe0215_le_q5_full,20311,le5_panelsize0
4,fe0215_mlo_le_q5_full,20360,le5_panelsize0
4,fe0215_mlo_q5_full,20204,le5_panelsize0
4,hhi_zecs1_ma3_dlga4_q4_full,2106,le5_panelsize0
5,fe0215_god2_q5_full,17389,le5_panelsize0
5,fe0215_le_q5_full,16799,le5_panelsize0
5,fe0215_mlo_le_q5_full,16713,le5_panelsize0
5,fe0215_mlo_q5_full,17204,le5_panelsize0
1,fe0215_god2_q5_full,1323,le5_panelsize10
1,fe0215_le_q5_full,1321,le5_panelsize10
1,fe0215_mlo_le_q5_full,1330,le5_panelsize10
1,fe0215_mlo_q5_full,1317,le5_panelsize10
1,hhi_zecs1_ma3_dlga4_q4_full,27491,le5_panelsize10
2,fe0215_god2_q5_full,4005,le5_panelsize10
2,fe0215_le_q5_full,4008,le5_panelsize10
2,fe0215_mlo_le_q5_full,4027,le5_panelsize10
2,fe0215_mlo_q5_full,4020,le5_panelsize10
2,hhi_zecs1_ma3_dlga4_q4_full,7451,le5_panelsize10
3,fe0215_god2_q5_full,8573,le5_panelsize10
3,fe0215_le_q5_full,8731,le5_panelsize10
3,fe0215_mlo_le_q5_full,8727,le5_panelsize10
3,fe0215_mlo_q5_full,8598,le5_panelsize10
3,hhi_zecs1_ma3_dlga4_q4_full,3796,le5_panelsize10
4,fe0215_god2_q5_full,13428,le5_panelsize10
4,fe0215_le_q5_full,13720,le5_panelsize10
4,fe0215_mlo_le_q5_full,13791,le5_panelsize10
4,fe0215_mlo_q5_full,13586,le5_panelsize10
